year,qtr,state_fips,low,high,FIPS,State,low_diff,YearQuarter,profitability,asset_quality,profitability_diff,assetquality_diff
2007,3,18,1.5,1.6,18,indiana,0.0,2007Q3,0.005414300300535861,0.002516827274485466,-0.001715851629903998,0.0010676677858250925
2007,4,18,1.5,1.6,18,indiana,0.0,2007Q4,0.005414300300535861,0.002516827274485466,-0.001715851629903998,0.0010676677858250925
2008,1,18,1.5,1.6,18,indiana,0.0,2008Q1,-0.0030405327448890726,0.011912908214071967,-0.008454833045424933,0.0093960809395865
2008,2,18,1.5,1.6,18,indiana,0.0,2008Q2,-0.0030405327448890726,0.011912908214071967,-0.008454833045424933,0.0093960809395865
2005,2,19,1.24,1.32,19,iowa,0.0,2005Q2,0.007507990830958929,0.003119953346492015,-0.0031625858362003267,0.0015634899010750472
2005,3,19,1.24,1.32,19,iowa,0.0,2005Q3,0.007507990830958929,0.003119953346492015,-0.0031625858362003267,0.0015634899010750472
2005,4,19,1.24,1.32,19,iowa,0.0,2005Q4,0.007507990830958929,0.003119953346492015,-0.0031625858362003267,0.0015634899010750472
2006,1,19,1.24,1.32,19,iowa,0.0,2006Q1,0.008926054683829747,0.0032387315605312264,0.001418063852870818,0.00011877821403921121
2006,2,19,1.24,1.32,19,iowa,0.0,2006Q2,0.008926054683829747,0.0032387315605312264,0.001418063852870818,0.00011877821403921121
2006,3,19,1.32,1.4,19,iowa,0.08000000000000007,2006Q3,0.008926054683829747,0.0032387315605312264,0.001418063852870818,0.00011877821403921121
2006,4,19,1.32,1.4,19,iowa,0.0,2006Q4,0.008926054683829747,0.0032387315605312264,0.001418063852870818,0.00011877821403921121
2007,1,19,1.24,1.32,19,iowa,-0.08000000000000007,2007Q1,0.007751318858552357,0.0027434484260117093,-0.0011747358252773904,-0.0004952831345195171
2007,2,19,1.24,1.32,19,iowa,0.0,2007Q2,0.007751318858552357,0.0027434484260117093,-0.0011747358252773904,-0.0004952831345195171
