State,GMM_logp
alabama,-5.823356793051338
alabama,-4.1611232717504585
alabama,-5.823356793051338
alabama,-5.823356793051338
alabama,-3.1982771212757637
alabama,-3.1982771212757637
alabama,-3.1982771212757637
alabama,-3.1982771212757637
alabama,-5.863055683680197
alabama,-5.930376021092608
alabama,-5.863055683680197
alabama,-5.863055683680197
alabama,-4.234089149433016
alabama,-4.234089149433016
alabama,-4.234089149433016
alabama,-4.234089149433016
alabama,-6.586441999362572
alabama,-6.586441999362572
alabama,-6.586441999362572
alabama,-6.586441999362572
alabama,-4.477298825328518
alabama,-4.378077743604672
alabama,-4.477298825328518
alabama,-4.378077743604672
alabama,-4.37328207514445
alabama,-4.37328207514445
alabama,-4.266171187199015
alabama,-4.266171187199015
alabama,-3.9052824711917555
alabama,-3.9052824711917555
alabama,-4.0041418589014315
alabama,-4.0041418589014315
alabama,-4.051600228183981
alabama,-4.051600228183981
alabama,-4.051600228183981
alabama,-4.051600228183981
alabama,-8.641995633993885
alabama,-8.693764335828467
alaska,-2.859957192893682
alaska,-2.859957192893682
alaska,-2.859957192893682
alaska,-2.859957192893682
alaska,-2.1097271168391876
alaska,-2.0915960056674283
alaska,-2.0915960056674283
alaska,-2.0915960056674283
alaska,-1.984633695438814
alaska,-3.5133271138054534
alaska,-1.984633695438814
alaska,-1.9460752046201495
alaska,-2.8658370531634656
alaska,-2.8658370531634656
alaska,-2.8658370531634656
alaska,-2.8658370531634656
alaska,-2.13289690996459
alaska,-2.1058045483344183
alaska,-2.13289690996459
alaska,-2.13289690996459
alaska,-2.1044366100609717
alaska,-2.1044366100609717
alaska,-2.1044366100609717
alaska,-2.1044366100609717
alaska,-2.338789866545604
alaska,-2.338789866545604
alaska,-2.338789866545604
alaska,-2.4569036021881776
alaska,-2.9368945589510593
alaska,-3.0573155065471376
alaska,-3.2586430223203267
alaska,-3.0573155065471376
alaska,-2.4585896598102566
alaska,-2.4585896598102566
alaska,-2.6685524427585112
alaska,-2.6685524427585112
alaska,-7.451990452361996
alaska,-7.451990452361996
arizona,-2.5706740692984646
