year,month,EPUType,StateCode,EPU_value,State
2000,1,Composite,WV,251.591886853174,west virginia
2000,2,National,AK,108.823551391371,alaska
2000,2,State,AK,72.549034260914,alaska
2000,2,Composite,AK,108.823551391371,alaska
2000,2,National,AL,54.9654336453894,alabama
2000,2,State,AL,43.9723469163116,alabama
2000,2,Composite,AL,87.9446938326231,alabama
2000,2,National,CA,55.672060539601,california
2000,2,State,CA,46.3933837830008,california
2000,2,Composite,CA,80.4151985572014,california
2000,2,National,CO,48.7086718575527,colorado
2000,2,State,CO,36.5315038931645,colorado
2000,2,Composite,CO,73.063007786329,colorado
2000,2,National,CT,33.8886909269563,connecticut
2000,2,State,CT,45.1849212359418,connecticut
2000,2,Composite,CT,67.7773818539126,connecticut
2000,2,National,FL,39.6761833257117,florida
2000,2,State,FL,22.970421925412,florida
2000,2,Composite,FL,52.2055043759364,florida
2000,2,National,GA,78.8398955744459,georgia
2000,2,State,GA,39.4199477872229,georgia
2000,2,Composite,GA,78.8398955744459,georgia
2000,2,National,IA,25.1162165707969,iowa
2000,2,State,IA,37.6743248561953,iowa
2000,2,Composite,IA,50.2324331415937,iowa
2000,2,National,ID,57.6181364455603,idaho
2000,2,State,ID,86.4272046683404,idaho
2000,2,Composite,ID,115.236272891121,idaho
2000,2,National,IL,19.9190045533808,illinois
2000,2,State,IL,19.9190045533808,illinois
2000,2,Composite,IL,31.8704072854094,illinois
2000,2,National,IN,33.8677370534976,indiana
2000,2,State,IN,50.8016055802464,indiana
2000,2,Composite,IN,67.7354741069952,indiana
2000,2,National,KS,64.0165799704125,kansas
2000,2,State,KS,24.0062174889047,kansas
2000,2,Composite,KS,88.0227974593171,kansas
2000,2,National,KY,100.249829049274,kentucky
2000,2,State,KY,25.0624572623185,kentucky
2000,2,Composite,KY,125.312286311592,kentucky
2000,2,National,LA,77.8369559433013,louisiana
2000,2,State,LA,19.4592389858253,louisiana
2000,2,Composite,LA,77.8369559433013,louisiana
2000,2,National,MA,12.2891734067632,massachusetts
2000,2,State,MA,49.1566936270529,massachusetts
2000,2,Composite,MA,49.1566936270529,massachusetts
2000,2,National,MD,74.4675559947641,maryland
2000,2,State,MD,74.4675559947641,maryland
2000,2,Composite,MD,111.701333992146,maryland
2000,2,National,ME,37.628057222287,maine
2000,2,State,ME,56.4420858334305,maine
2000,2,Composite,ME,56.4420858334305,maine
2000,2,National,MI,38.4527189612566,michigan
2000,2,State,MI,57.679078441885,michigan
2000,2,Composite,MI,76.9054379225133,michigan
2000,2,National,MN,115.252726014018,minnesota
2000,2,State,MN,49.3940254345793,minnesota
2000,2,Composite,MN,148.182076303738,minnesota
2000,2,National,MO,77.4198576366191,missouri
2000,2,State,MO,48.3874110228869,missouri
2000,2,Composite,MO,116.129786454929,missouri
2000,2,National,MT,0.0,montana
2000,2,State,MT,204.154879507276,montana
2000,2,Composite,MT,204.154879507276,montana
2000,2,National,NC,36.0921809772222,north carolina
2000,2,State,NC,18.0460904886111,north carolina
2000,2,Composite,NC,54.1382714658333,north carolina
2000,2,National,ND,24.4645124975552,north dakota
2000,2,State,ND,73.3935374926657,north dakota
2000,2,Composite,ND,73.3935374926657,north dakota
2000,2,National,NE,51.9076287097751,nebraska
2000,2,State,NE,17.3025429032584,nebraska
2000,2,Composite,NE,69.2101716130334,nebraska
2000,2,National,NH,50.0878686993569,new hampshire
2000,2,State,NH,150.263606098071,new hampshire
2000,2,Composite,NH,150.263606098071,new hampshire
2000,2,National,NJ,55.8820714815857,new jersey
2000,2,State,NJ,31.0455952675476,new jersey
2000,2,Composite,NJ,86.9276667491333,new jersey
2000,2,National,NM,23.0184557484194,new mexico
2000,2,State,NM,46.0369114968389,new mexico
2000,2,Composite,NM,46.0369114968389,new mexico
2000,2,National,NY,53.6371281039886,new york
2000,2,State,NY,26.8185640519943,new york
2000,2,Composite,NY,80.4556921559829,new york
2000,2,National,OH,53.4039605047955,ohio
2000,2,State,OH,11.8675467788434,ohio
2000,2,Composite,OH,59.3377338942172,ohio
2000,2,National,OK,104.827502564703,oklahoma
2000,2,State,OK,87.3562521372528,oklahoma
2000,2,Composite,OK,174.712504274506,oklahoma
2000,2,National,OR,83.1784755796761,oregon
