"year","month","EPUType","State","EPU_value"
2000,2,"Composite","GA",78.8398955744459
2000,2,"National","IA",25.1162165707969
2000,2,"State","IA",37.6743248561953
2000,2,"Composite","IA",50.2324331415937
2000,2,"National","ID",57.6181364455603
2000,2,"State","ID",86.4272046683404
2000,2,"Composite","ID",115.236272891121
2000,2,"National","IL",19.9190045533808
2000,2,"State","IL",19.9190045533808
2000,2,"Composite","IL",31.8704072854094
2000,2,"National","IN",33.8677370534976
2000,2,"State","IN",50.8016055802464
2000,2,"Composite","IN",67.7354741069952
2000,2,"National","KS",64.0165799704125
2000,2,"State","KS",24.0062174889047
2000,2,"Composite","KS",88.0227974593171
2000,2,"National","KY",100.249829049274
2000,2,"State","KY",25.0624572623185
2000,2,"Composite","KY",125.312286311592
2000,2,"National","LA",77.8369559433013
2000,2,"State","LA",19.4592389858253
2000,2,"Composite","LA",77.8369559433013
2000,2,"National","MA",12.2891734067632
2000,2,"State","MA",49.1566936270529
2000,2,"Composite","MA",49.1566936270529
2000,2,"National","MD",74.4675559947641
2000,2,"State","MD",74.4675559947641
2000,2,"Composite","MD",111.701333992146
2000,2,"National","ME",37.628057222287
2000,2,"State","ME",56.4420858334305
2000,2,"Composite","ME",56.4420858334305
2000,2,"National","MI",38.4527189612566
2000,2,"State","MI",57.679078441885
2000,2,"Composite","MI",76.9054379225133
2000,2,"National","MN",115.252726014018
2000,2,"State","MN",49.3940254345793
2000,2,"Composite","MN",148.182076303738
2000,2,"National","MO",77.4198576366191
2000,2,"State","MO",48.3874110228869
2000,2,"Composite","MO",116.129786454929
2000,2,"National","MT",0
2000,2,"State","MT",204.154879507276
2000,2,"Composite","MT",204.154879507276
2000,2,"National","NC",36.0921809772222
2000,2,"State","NC",18.0460904886111
2000,2,"Composite","NC",54.1382714658333
2000,2,"National","ND",24.4645124975552
2000,2,"State","ND",73.3935374926657
2000,2,"Composite","ND",73.3935374926657
2000,2,"National","NE",51.9076287097751
2000,2,"State","NE",17.3025429032584
2000,2,"Composite","NE",69.2101716130334
2000,2,"National","NH",50.0878686993569
2000,2,"State","NH",150.263606098071
2000,2,"Composite","NH",150.263606098071
2000,2,"National","NJ",55.8820714815857
2000,2,"State","NJ",31.0455952675476
2000,2,"Composite","NJ",86.9276667491333
2000,2,"National","NM",23.0184557484194
2000,2,"State","NM",46.0369114968389
2000,2,"Composite","NM",46.0369114968389
2000,2,"National","NY",53.6371281039886
2000,2,"State","NY",26.8185640519943
2000,2,"Composite","NY",80.4556921559829
2000,2,"National","OH",53.4039605047955
2000,2,"State","OH",11.8675467788434
2000,2,"Composite","OH",59.3377338942172
2000,2,"National","OK",104.827502564703
2000,2,"State","OK",87.3562521372528
2000,2,"Composite","OK",174.712504274506
2000,2,"National","OR",83.1784755796761
2000,2,"State","OR",41.589237789838
2000,2,"Composite","OR",83.1784755796761
2000,2,"National","PA",36.2260132632048
2000,2,"State","PA",36.2260132632048
2000,2,"Composite","PA",67.2768817745233
