ASSET,ELNATR,ID,LNLSGR,PTXNOINC,STNAME,YEAR
9836534,236,SI_1985_OR,5276875,-188432,Oregon,1985
55890651,76291,SI_1985_PA,37251053,158327,Pennsylvania,1985
5058873,0,SI_1985_PR,2205406,31593,Puerto Rico,1985
5945010,2276,SI_1985_RI,4504756,67850,Rhode Island,1985
9589906,0,SI_1985_SC,7276067,37130,South Carolina,1985
1345902,0,SI_1985_SD,930060,2250,South Dakota,1985
9710013,0,SI_1985_TN,6880043,61448,Tennessee,1985
91289739,0,SI_1985_TX,58327475,92450,Texas,1985
6003505,0,SI_1985_UT,3933286,-70372,Utah,1985
21620471,0,SI_1985_VA,14547772,82622,Virginia,1985
0,0,SI_1985_VI,0,0,Virgin Islands Of The U.S.,1985
1453976,2194,SI_1985_VT,1179883,11383,Vermont,1985
19604996,8132,SI_1985_WA,13496838,47525,Washington,1985
15274118,7,SI_1985_WI,11054084,101444,Wisconsin,1985
2294047,0,SI_1985_WV,1635287,-1872,West Virginia,1985
1282421,0,SI_1985_WY,907756,-12824,Wyoming,1985
629716,0,SI_1986_AK,376723,-11007,Alaska,1986
8494179,0,SI_1986_AL,5383460,8331,Alabama,1986
8138612,0,SI_1986_AR,4548278,-267774,Arkansas,1986
21478145,0,SI_1986_AZ,13050254,-193929,Arizona,1986
308442716,0,SI_1986_CA,196992783,86923,California,1986
15854190,0,SI_1986_CO,9272765,-159989,Colorado,1986
36879106,43162,SI_1986_CT,25605024,345389,Connecticut,1986
1664392,12,SI_1986_DE,1022440,6406,Delaware,1986
84088941,0,SI_1986_FL,53553287,-234812,Florida,1986
16069223,0,SI_1986_GA,10786645,93584,Georgia,1986
86433,0,SI_1986_GU,58954,1603,Guam,1986
3656694,0,SI_1986_HI,2542068,31745,Hawaii,1986
9021071,0,SI_1986_IA,5873567,-99982,Iowa,1986
1476407,0,SI_1986_ID,922897,-53236,Idaho,1986
64956351,0,SI_1986_IL,39707617,204392,Illinois,1986
13042464,985,SI_1986_IN,9218612,118819,Indiana,1986
16732114,0,SI_1986_KS,8703978,182607,Kansas,1986
7160564,0,SI_1986_KY,4682767,42654,Kentucky,1986
15338130,0,SI_1986_LA,11063351,-163926,Louisiana,1986
50567243,41546,SI_1986_MA,34453050,851223,Massachusetts,1986
19940634,3011,SI_1986_MD,13962297,62055,Maryland,1986
6150426,6981,SI_1986_ME,3957008,80803,Maine,1986
33845673,0,SI_1986_MI,15698392,62445,Michigan,1986
15739484,0,SI_1986_MN,8684050,-105217,Minnesota,1986
21682348,0,SI_1986_MO,12661639,-46628,Missouri,1986
4711144,0,SI_1986_MS,2818984,-18615,Mississippi,1986
1188647,0,SI_1986_MT,817016,7446,Montana,1986
19169801,0,SI_1986_NC,13558199,190116,North Carolina,1986
3876854,0,SI_1986_ND,2161159,-6146,North Dakota,1986
9023244,0,SI_1986_NE,5227604,-46855,Nebraska,1986
8254744,9584,SI_1986_NH,6178027,91904,New Hampshire,1986
62930105,15939,SI_1986_NJ,39289828,453002,New Jersey,1986
5822203,0,SI_1986_NM,3540221,-47683,New Mexico,1986
4157827,0,SI_1986_NV,2051360,36596,Nevada,1986
148636032,85053,SI_1986_NY,85412035,1213487,New York,1986
48864389,0,SI_1986_OH,32302254,271659,Ohio,1986
9970130,0,SI_1986_OK,7090333,-299938,Oklahoma,1986
9761821,422,SI_1986_OR,5354603,-245563,Oregon,1986
62116693,40298,SI_1986_PA,38300479,286645,Pennsylvania,1986
5568155,0,SI_1986_PR,2807400,56534,Puerto Rico,1986
7311084,4186,SI_1986_RI,5359665,75059,Rhode Island,1986
10280562,0,SI_1986_SC,7730750,47682,South Carolina,1986
1371441,0,SI_1986_SD,909393,4181,South Dakota,1986
10523802,0,SI_1986_TN,7034220,88201,Tennessee,1986
96322816,0,SI_1986_TX,58999885,-4180474,Texas,1986
5907092,0,SI_1986_UT,3743560,-135609,Utah,1986
23420218,0,SI_1986_VA,15581458,108405,Virginia,1986
0,0,SI_1986_VI,0,0,Virgin Islands Of The U.S.,1986
1680636,5307,SI_1986_VT,1344237,15641,Vermont,1986
21344731,15463,SI_1986_WA,12795811,95947,Washington,1986
15882440,54,SI_1986_WI,11295557,141291,Wisconsin,1986
2101972,0,SI_1986_WV,1460881,-11251,West Virginia,1986
1283579,0,SI_1986_WY,765458,-22733,Wyoming,1986
610675,31643,SI_1987_AK,369065,-41154,Alaska,1987
8904176,22875,SI_1987_AL,5222227,-8692,Alabama,1987
6706097,208605,SI_1987_AR,4259180,-302331,Arkansas,1987
24064619,192880,SI_1987_AZ,14162095,-141208,Arizona,1987
346250931,1688482,SI_1987_CA,218651186,149119,California,1987
14623655,203533,SI_1987_CO,9030960,-245549,Colorado,1987
43367054,66763,SI_1987_CT,30828085,397387,Connecticut,1987
1919442,1871,SI_1987_DE,1317517,13270,Delaware,1987
79918152,376876,SI_1987_FL,47623931,-196960,Florida,1987
18148164,45340,SI_1987_GA,11756836,96765,Georgia,1987
94804,371,SI_1987_GU,65003,1821,Guam,1987
5504317,8691,SI_1987_HI,3331352,62854,Hawaii,1987
8616089,82882,SI_1987_IA,5589745,-84589,Iowa,1987
903598,3947,SI_1987_ID,536020,1730,Idaho,1987
68191165,110891,SI_1987_IL,40847708,262222,Illinois,1987
13991187,24502,SI_1987_IN,9802086,69566,Indiana,1987
20366442,127323,SI_1987_KS,8324591,21648,Kansas,1987
7451545,29360,SI_1987_KY,4778533,21169,Kentucky,1987
15461902,173478,SI_1987_LA,10715998,-276152,Louisiana,1987
57601952,66860,SI_1987_MA,41378474,828487,Massachusetts,1987
20687831,100025,SI_1987_MD,13880609,32245,Maryland,1987
7190081,9348,SI_1987_ME,5000440,88158,Maine,1987
36374187,51541,SI_1987_MI,15730717,117969,Michigan,1987
15995374,54959,SI_1987_MN,9273429,-119323,Minnesota,1987
23816628,96962,SI_1987_MO,12994796,-36280,Missouri,1987
5019065,10308,SI_1987_MS,2881279,-7650,Mississippi,1987
1208025,5387,SI_1987_MT,726906,5525,Montana,1987
20051808,60158,SI_1987_NC,14544780,191706,North Carolina,1987
4183134,9559,SI_1987_ND,2105032,2279,North Dakota,1987
11298910,52916,SI_1987_NE,5839411,-40192,Nebraska,1987
9765576,18524,SI_1987_NH,7796513,91961,New Hampshire,1987
67047253,175367,SI_1987_NJ,42224979,446824,New Jersey,1987
5987245,132209,SI_1987_NM,3198109,-175688,New Mexico,1987
4698617,3932,SI_1987_NV,2218324,51010,Nevada,1987
168923694,205946,SI_1987_NY,100676906,1596145,New York,1987
49905832,244524,SI_1987_OH,33040890,141734,Ohio,1987
9974319,387305,SI_1987_OK,6390527,-531527,Oklahoma,1987
9665270,98390,SI_1987_OR,5038022,-148265,Oregon,1987
67178985,201288,SI_1987_PA,40746172,210221,Pennsylvania,1987
6220640,23589,SI_1987_PR,3369387,53775,Puerto Rico,1987
7220396,46643,SI_1987_RI,5532269,52370,Rhode Island,1987
10771317,13526,SI_1987_SC,8088805,76575,South Carolina,1987
1394892,6254,SI_1987_SD,930287,6217,South Dakota,1987
11422552,33715,SI_1987_TN,7367073,86981,Tennessee,1987
99080227,3818946,SI_1987_TX,51469279,-7265021,Texas,1987
7069619,47364,SI_1987_UT,3662455,-91940,Utah,1987
26038780,77749,SI_1987_VA,16973651,53066,Virginia,1987
3673,0,SI_1987_VI,299,-113,Virgin Islands Of The U.S.,1987
