"State","coef_1","coef_2","coef_3","coef_4","coef_5","coef_6","coef_7","coef_8","coef_9","coef_10","coef_11","coef_12","coef_13","coef_14","coef_15","coef_16","coef_17","coef_18","coef_19","coef_20","coef_21","coef_22","coef_23","coef_24","coef_25","coef_26","coef_27","coef_28","coef_29","coef_30","coef_31","coef_32","coef_33","coef_34","coef_35","coef_36","coef_37","coef_38","coef_39","coef_40","coef_41","coef_42","coef_43","coef_44","coef_45","coef_46","coef_47","coef_48","coef_49","coef_50"
"alabama",0.341437092040363,0.0846534470317123,0.174480784303248,-0.0394456445494525,0.0946781069991335,-0.0554623187387891,0.84339548426714,0.00112550485035388,0.0889571147647573,0.0635139614000693,0.0560296071217047,-0.0739905504243542,0.676477050571777,-0.0796071883144701,-0.00517116088834258,-0.0238822187630055,0.0158967857095108,0.0807125945632482,0.909416076260758,-0.00372148115655286,-0.0651008748475219,-0.0456044518619488,0.0891760645222206,-0.0563032082318608,0.2237993206719,0.300323129315397,-0.00334106115095324,0.0465449085482009,-0.00466495378372187,0.105825952455186,0.0362575447705212,0.143374226952572,-0.0630107920416501,0.059117075548416,-0.0325585887680705,0.025770566126659,-0.0281790835039182,0.110733484191265,0.00364470389390394,-0.0595303783453411,-0.0402762325200917,-0.0161633568690022,0.0525276552065774,0.139188796781775,0.0155494154441228,0.0822497758294137,0.014609743922152,-0.15400010243275,0.0564449701714678,0.148834755170833
"alaska",0.83220549299853,-0.0145434408076665,-0.0130658524556176,0.100752838784033,-0.0374590739506734,-0.0426210740978098,0.668624817695904,0.149622453174214,-0.0229164772493572,0.161252658707622,-0.101021462119766,-0.123284478101815,0.36072180948701,-0.021711184124721,-0.120007955508644,-0.0427683429507832,0.00530252503321325,0.014500148471996,0.919579457600168,0.0317044257848134,0.0643037783174936,-0.0259369543673544,-0.0360077581008121,-0.0511056372704515,0.222395921260067,0.220171464175049,-0.0580611489879454,0.0225516889950713,0.00893651807213244,0.0409112133045973,0.0583857053062014,-0.0250891063166548,-0.0358441847964896,0.0384867191621098,-0.0513776900843583,0.0457226678907026,-0.0719458149746736,0.215265646680182,0.0213226557504305,-0.0583501893963089,-0.0581869639468758,-0.0079110881827378,-0.0318498183118572,0.127822432164936,0.0206512330988719,0.01483378908955,-0.0116747485486626,-0.100860129052331,0.0473302474672904,0.139613388107666
"california",0.333295072573751,0.0214245909779163,0.146837233453301,-0.0142785207386022,0.0651645724186314,-0.11397605041296,0.838069779986282,-0.0436347655776018,0.0640350236547394,0.0285431058566675,0.112340384739178,-0.021503208765119,0.8186015782625,-0.0673210095071906,-0.0183964363180887,-0.042634194249966,0.0824646919197193,-0.00485199649498936,0.921707522784671,0.00551423981215906,-0.254074350872686,-0.0644436540152849,0.113577193468081,-0.0550746382752415,0.202710433395781,0.199369478485398,0.000897973597794805,0.0155620353029314,0.00149788456288681,0.0871373398421207,0.0236515509020982,0.138080962919188,-0.0587253402913796,0.0551634533548906,-0.0323555977961894,0.0104615869682201,-0.0144806692918874,0.170752038406799,-0.00229718938304329,-0.00664780948291222,-0.0146939427749736,0.00736013389605015,0.034156362984561,0.132742748063386,0.0165264133550332,0.170481220241348,-0.000128064559342211,-0.0866044309691433,0.0558003216650535,0.135298933297585
"colorado",0.258648729839293,-0.0452984479854171,0.134087320942328,-0.0583245386287282,-0.0083599533210579,0.0185813641196309,0.920857121259404,-0.0150398441630197,0.0946857840767068,0.0732824096050219,0.0521512155183706,-0.0534242717251381,0.563716609848363,-0.0422299507436247,0.168501375783726,0.0553516796331647,0.0215435178691073,0.0225181441626789,0.924124934848139,0.0375664925123737,-0.214193674256684,-0.0571094222077886,0.142304207271405,-0.053050952933763,0.221560998183219,0.330519197720901,-0.0275316226200941,0.0663300171361974,-0.0438794200857332,-0.00795677003839575,-0.00133890059851421,0.178059302021402,-0.037528743762987,0.0307562607839988,0.0149890251120228,-0.0383718087728481,-0.0619953699426816,0.186738961953053,-0.00867496493546791,-0.0482720506650895,0.0110052160875296,-0.0374214128343689,-0.00268778734467697,0.138634863965204,0.0246310972707776,0.09250114482754,0.00063953229999106,-0.139279406479824,0.0526991686205274,0.0968054794541257
"connecticut",0.292126223387532,-0.119933698006035,-0.0727399059724743,0.0539128083228921,-0.0462045625390412,0.08448010149301,0.87505614788892,-0.0975014914679564,0.122886101220807,0.0201316374943635,-0.0796841713694664,-0.00131167309569898,0.812157972825651,0.014414669207096,-0.0777710809619325,0.0208387180415794,0.0139817892735558,-0.0376975010675819,0.946083498078808,0.00202947022094341,0.194113598416073,-0.088464739919759,0.166501329093742,-0.0623413435320197,0.212613217772772,0.0991173599926336,-0.00366200361215253,-0.0143488884140174,0.0207215191991061,-0.114192300343234,-0.022209225321509,0.216342473769872,-0.0593364366331569,0.0779762439953931,-0.0511432152312427,0.00972731913969895,0.000801678327109315,0.179449595156252,0.0220660914961073,0.0352328288858877,-0.0109166477060663,-0.00809862106531282,0.0175872582115408,0.153919117047708,0.00958641467418157,-0.153862267185097,-0.00211151796404086,-0.103602058829679,0.0436283091285951,0.144053501801026
"florida",0.411847978488138,-0.00446455861495939,0.0053184132526072,0.0514848045273545,0.0464137234343592,-0.00202265722311443,0.88084544467884,-0.0829960216181344,0.110882999337244,-0.0136369578053297,-0.0769126546645964,-0.00240077451572901,0.841399291144331,-0.0783089982586045,-0.000416626761567025,0.0358806529930513,0.0159259766690159,0.059784476322989,0.884130742671402,0.0050397708457329,-0.0516885315123256,-0.0463389467042147,0.00173101460545072,-0.045970608720739,0.210128182310244,0.238368889555307,0.00120230767702212,0.0131637856017652,0.0063203118181199,0.101176068175483,0.0203700604394966,0.199454016595676,-0.0523864265343581,0.0662636174853649,-0.039404715447789,0.0148979767508477,0.0010204250700316,0.179739532131939,-0.0159939550456242,0.0240268445303972,0.00660967805025012,0.00272920508477259,0.0364053606274308,0.14926967462087,0.0150185936151275,0.101435907356351,-0.00225087165287192,-0.0864206003435545,0.0599723927151596,0.129327254565999
"georgia",0.373000028027369,-0.0222623535769445,0.00439696979228183,0.0154296310549252,0.0612708961492149,0.0288648532079363,0.807434323212506,-0.0893649026619304,0.0838928779407742,0.0441834099706765,0.224055271366408,0.0418734206259572,0.578457900548635,0.0938009855058683,-0.023364976340552,-0.0568851188784197,-0.0028601000488653,0.0102909410854639,0.946970903390824,-0.00320502151576008,-0.174067194863545,-0.0281383679308946,0.144523844884561,-0.063093665945187,0.208183994586532,0.230151441666309,-0.0552908712187629,-0.0044140578061498,0.0372971620847695,-0.00601556765725275,0.015375228143616,0.123521236591188,-0.0851403528578529,0.0626076106632681,-0.0618815580704235,-0.0281450791570308,0.0372063365139977,0.171515769373221,0.0557605263901646,0.00392682758149692,-0.0160945186438045,-0.0205700924688128,0.0187824381421132,0.166463220558213,0.011077998927036,0.139463979082466,0.00356995092648265,-0.108234734957291,0.0438072971597105,0.13263604057589
"idaho",0.30954115110318,-0.0287361149431729,0.0216968670141971,-0.0219486168328977,0.0080473577935684,-0.0728539733193031,0.892392615930574,-0.11814358741071,0.127036912032691,-0.0464996875499302,0.0437522954093886,-0.0140191583092276,0.763071443716814,-0.0195308653221304,0.0318192734436152,-0.0632788849984743,-0.00327882392947662,0.0361432256351,0.914024768956166,0.0169735360279319,-0.146189874161799,0.0276757592598562,0.0933321577209314,-0.0498477212479236,0.197753011639723,0.146637235898378,0.0321024903000106,-0.000974451635109811,0.00584665357206489,-0.0130066440803911,-0.0469327965231802,0.187060012323746,-0.0734100411676712,0.0576885622590071,-0.00178862218923767,-0.024910693136791,-0.0268648896259027,0.0585186044012401,0.0405532292711428,-0.0340123467241676,0.0226304867855085,-0.00621572740317115,0.0428369066439801,0.144514428957408,0.0113906500497326,0.0556950394598009,0.0149872710101838,-0.069249362796498,0.0520171229873702,0.114500025466024
"illinois",0.349149529469741,0.059316068956958,0.157875097291118,0.0254347174695064,-0.01940722817656,-0.0141734678200367,0.906513173614159,-0.0165583592949001,0.0658762572573447,0.03600352157721,0.029682774476889,-0.138266111483168,0.729379052962774,-0.0573801755441712,-0.0619572040310013,-0.020880125854176,0.0503722089216265,0.0276019664579306,0.917611279956086,-0.0089289586314193,-0.249481680646204,-0.0493497350400102,0.116611776204747,-0.0547931617232868,0.214952897131777,0.237265933987216,0.0208780329849844,0.00560514804993347,0.00584051236601689,0.032512491339959,-0.0025785996000858,0.155482261658831,-0.0289183111440487,0.0289689912685606,0.0206542507154963,0.0120710016629408,-0.0343656731165252,0.132401353361134,0.0165840051616626,-0.0172645983941285,-0.0253491340616392,-0.0245006133061729,0.0293652759368832,0.132361605568087,0.0138942766596449,0.131206616521666,-0.0185729673148308,-0.160149754142019,0.060528730436718,0.126915558502416
"indiana",0.383076984970362,0.123559561670877,0.14151669371401,-0.0720632459796923,-0.068696121209872,-0.16969942100281,0.72633777191096,-0.0363163956444875,0.0216979065537635,0.137380164264636,-0.13525565549763,0.0243573547850459,0.765762514834618,-0.0604828684984308,-0.0203998573832056,0.0686676817611723,0.0286922243682219,0.0557067559546503,0.947751694442637,0.0426799633333165,-0.134139607190725,-0.152835587262631,0.107819837148723,-0.0726047385491164,0.22464705802809,0.225750354021845,0.0516413923368459,0.0402050575880717,-0.0536963302773663,0.173076514381336,-0.00273351942691608,0.0557814437376866,-0.0830907542471957,0.0748434886364407,-0.0726932172393924,-0.0219814255198852,-0.0146431533870643,0.186927403939714,0.00141377885991929,0.00663962246151996,0.0165405369649961,-0.00264984050230518,0.0420364922257305,0.148890301597788,0.0208684775538356,0.0606797527525055,-0.0174006955593688,-0.113854364574212,0.0417919465115036,0.128249010694327
