,State,OCSVM_score
0,utah,30.551111173573037
1,utah,30.551111173573037
2,delaware,30.499108386849006
3,delaware,30.49707268323621
4,arizona,30.42700849349733
5,arizona,30.42700849349733
6,florida,30.075400940191535
7,florida,30.075400940191535
8,arizona,28.489194302260593
9,arizona,28.489194302260593
10,arizona,28.489194302260593
11,arizona,28.489194302260593
12,utah,27.476266861732153
13,utah,27.42140027239292
14,utah,27.42140027239292
15,utah,27.42140027239292
16,california,27.35457275562556
17,california,27.35457275562556
18,alabama,25.53765487711111
19,alabama,25.511097278250997
20,utah,23.68224009128503
21,utah,23.68224009128503
22,utah,23.68224009128503
23,utah,23.68224009128503
24,arizona,22.61985650482405
25,arizona,22.61985650482405
26,michigan,22.613812106099683
27,michigan,22.613812106099683
28,arizona,22.587579053996258
29,arizona,22.587579053996258
30,arizona,22.49060064369314
31,arizona,22.49060064369314
32,arizona,22.49060064369314
33,arizona,22.49060064369314
34,arizona,22.464018411169484
35,arizona,22.464018411169484
36,arizona,22.464018411169484
37,arizona,22.464018411169484
38,arizona,18.235040996116055
39,arizona,18.18076710894736
40,arizona,18.18076710894736
41,arizona,18.18076710894736
42,utah,17.36172063065443
43,utah,17.36172063065443
44,utah,17.36172063065443
45,utah,17.36172063065443
46,utah,13.672566378586989
47,utah,13.572270254409897
48,utah,13.572270254409897
49,utah,13.572270254409897
50,utah,12.813143406654152
51,utah,12.813143406654152
52,utah,12.813143406654152
53,utah,12.813143406654152
54,ohio,10.873441212479971
55,ohio,10.873441212479971
56,north dakota,7.578013662540219
57,nebraska,7.376857734731054
58,nebraska,7.376857734731054
59,georgia,7.110192095062271
60,georgia,7.110192095062271
61,georgia,7.110192095062271
62,georgia,7.110192095062271
63,illinois,6.810927349692868
64,illinois,6.810927349692868
65,illinois,6.810927349692868
66,illinois,6.810927349692868
67,south dakota,6.185035175633864
68,south dakota,6.185035175633864
69,south dakota,6.185035175633864
70,south dakota,6.185035175633864
71,virginia,6.103405838455981
72,virginia,6.103405838455981
73,rhode island,6.037350837784203
74,georgia,5.885366246219661
75,west virginia,5.673591452216268
76,west virginia,5.284549237861377
77,west virginia,5.284549237861377
78,west virginia,5.284549237861377
79,illinois,5.11727848932059
80,illinois,5.11727848932059
81,rhode island,4.479283844745186
82,georgia,4.222378414744526
83,pennsylvania,3.6989647378184713
84,pennsylvania,3.6989647378184713
85,nevada,3.5642314984544363
86,hawaii,3.4014898893426384
87,hawaii,3.4014898893426384
88,hawaii,3.4014898893426384
89,hawaii,3.4014898893426384
90,oklahoma,3.3968731481391607
91,oklahoma,3.346548883390767
92,oklahoma,3.346548883390767
93,oklahoma,3.346548883390767
94,arizona,3.1635807062123433
95,arizona,3.1635807062123433
96,arizona,3.1635807062123433
97,north dakota,2.755056291248394
98,north dakota,2.755056291248394
99,north dakota,2.755056291248394
100,illinois,2.665475549766036
101,illinois,2.665475549766036
102,illinois,2.665475549766036
103,illinois,2.665475549766036
104,nevada,2.63540804860148
105,nevada,2.63540804860148
106,nevada,2.63540804860148
107,south dakota,2.568429545080363
108,south dakota,2.568429545080363
109,south dakota,2.5437925167514663
110,south dakota,2.5437925167514663
111,south dakota,2.5437925167514663
112,south dakota,2.5437925167514663
113,colorado,2.3483223970459264
114,arizona,2.15547897352295
115,nevada,2.0856693309624816
116,nevada,2.0856693309624816
117,nevada,2.0856693309624816
118,nevada,1.8458525007146065
119,west virginia,1.7322523260877283
120,west virginia,1.7322523260877283
121,west virginia,1.7322523260877283
122,west virginia,1.7322523260877283
123,arizona,1.6474806025063913
124,arizona,1.6474806025063913
125,arizona,1.6474806025063913
126,south dakota,1.6129871178410369
127,south dakota,1.6129871178410369
128,arizona,1.5619268629825847
129,california,1.3825648896585392
130,california,1.3825648896585392
131,california,1.3825648896585392
132,california,1.3825648896585392
133,georgia,1.3002572294759176
134,south dakota,0.9269105440767831
135,georgia,0.9136708489528189
136,georgia,0.9136708489528189
137,georgia,0.9136708489528189
138,hawaii,0.6993357043800295
139,hawaii,0.6993357043800295
140,hawaii,0.6993357043800295
141,hawaii,0.6993357043800295
142,maryland,0.6345690300754647
143,maryland,0.6345690300754647
144,mississippi,0.5948174127941357
145,mississippi,0.5948174127941357
146,mississippi,0.5948174127941357
147,mississippi,0.5948174127941357
148,virginia,0.4847992784389561
149,virginia,0.4847992784389561
150,virginia,0.4847992784389561
151,virginia,0.4847992784389561
152,arizona,0.46995307878061965
153,arizona,0.46995307878061965
154,kansas,0.35988863577036767
155,kansas,0.35988863577036767
156,colorado,0.3546825637145332
157,colorado,0.3546825637145332
158,colorado,0.3546825637145332
159,mississippi,0.34818563898075183
160,missouri,0.22244916798757686
161,missouri,0.22244916798757686
162,alabama,0.18394924875560292
163,alabama,0.18394924875560292
164,alabama,0.18394924875560292
165,kansas,0.17726883671267046
166,kansas,0.17726883671267046
167,virginia,0.166909608074981
168,virginia,0.166909608074981
169,virginia,0.166909608074981
170,mississippi,0.11668426390149023
171,illinois,0.005126570527195895
172,illinois,0.005126570527195895
173,illinois,0.005126570527195895
174,illinois,0.005126570527195895
175,mississippi,0.00024562238639447287
176,mississippi,0.00024562238639447287
177,nevada,0.00021935638319092732
178,nevada,0.00021935638319092732
179,nevada,0.00021935638319092732
180,nevada,0.00021935638319092732
181,wisconsin,0.00010551694237648235
182,wisconsin,0.00010551694237648235
183,virginia,0.00010540932662905789
184,virginia,0.00010540932662905789
185,virginia,0.00010540932662905789
186,virginia,0.00010540932662905789
187,mississippi,8.958577838313886e-05
188,mississippi,8.958577838313886e-05
189,mississippi,8.958577838313886e-05
190,washington,-7.977222739441459e-05
191,washington,-7.977222739441459e-05
192,washington,-7.977222739441459e-05
193,washington,-7.977222739441459e-05
