State,combined_1,combined_2,combined_3,combined_4,combined_5,combined_6,combined_7,combined_8,combined_9,combined_10,combined_11,combined_12,combined_13,combined_14,combined_15,combined_16,combined_17,combined_18,combined_19,combined_20,combined_21,combined_22,combined_23,combined_24,combined_25
alabama,0.17426408531634194,0.04533931171877225,0.09127450185899286,-0.0155619417168142,0.04438491061171425,-0.0317251109013889,0.41639300729716705,-0.00637920434862885,0.03554381797018995,0.003441738228949453,0.003505227997750597,-0.04816568854728551,0.3412398811672052,-0.07206127859028169,-0.02365194800254605,-0.024936236861271048,-0.01007735189005075,0.00479589370733545,0.4427669287488763,-0.03781564464437765,-0.060281596793155506,-0.024520237767582,0.0465333563646736,-0.0255635985056537,0.11546674268177785
alaska,0.43611070010400904,0.0095994087962895,0.017016068795601597,0.0778348145647097,-0.08415681439403669,-0.0871929938163209,0.2694107548252015,0.012735084367500496,-0.0683803018180491,0.043380312788587456,-0.083141724104338,-0.1105175007520668,0.21193875795416794,-0.050920376183986996,-0.0873115085217461,-0.05867069681929995,-0.019309591803192052,-0.03230055238341075,0.4384055573246924,-0.018014199052136297,0.010841352109841905,0.0224377683988405,0.07255206845549744,0.09129829612016475,0.259489162460042
california,0.1786010918184252,0.022292728070818252,0.085583060174856,0.00422234225703025,-0.020662524070670304,-0.1086798736350775,0.36940141927557213,-0.06878135554174646,-0.011508190272233904,-0.052775777086521244,-0.006820123657482503,-0.049736430948999044,0.41580686474592315,-0.10510245960475381,-0.06863098600280486,-0.053742660311025245,-0.015104718325551852,-0.07757073491164165,0.43953666426735255,-0.07143869937895249,-0.184025200642823,-0.0431370499180635,0.06839105019994735,-0.015218815707281398,0.1144755555067824
colorado,0.1268463534170397,-0.02484376774548645,0.06392593137930015,-0.033877397811081,0.01299728713586075,0.02809617519887565,0.48107235960016986,0.01520571618637975,0.0724018368308646,0.0437286939780189,0.034469141058088196,0.0008162717218470512,0.2729222732526114,-0.01541020859786555,0.09374234076100231,0.057174170039285654,0.0211358693500001,0.0159639637567876,0.4897383072406518,0.02412168133645565,-0.09780615506852655,-0.04886278925614325,0.068019031189937,-0.029842311327103303,0.10739658433784985
connecticut,0.13189276488965776,-0.07272146429882595,-0.05186540608942435,0.011015929341342049,-0.0009697271470034997,0.0642959419033749,0.4592130779764684,-0.027805006507935253,0.0811882510919839,0.06848078217458575,0.016241264388033798,0.0172837043037671,0.39318047987619825,0.0672245006232845,0.014463892098418751,0.025610223091589147,0.0573880398050964,0.04126036370422005,0.4834611080601937,0.0574355471863747,0.1392968499545415,-0.0435643023167748,0.07867735145663139,-0.0354477172972292,0.10251525831932476
florida,0.2038637233568805,-0.00406002147856585,0.00019749833051605024,0.0224546212214142,0.0262668387615248,0.004111860166391149,0.4481694192467045,-0.03053196139088095,0.0701258076747418,0.012084724807330348,-0.01714890917434205,0.017237252683985647,0.4155742847968682,-0.023929792948166703,0.02242958766796975,0.038745160922851046,0.0310781155885505,0.040097347779977796,0.46000569783222667,0.006745984125321999,-0.02685559436772,-0.032321775506985354,0.00121712108146035,-0.021892884882508748,0.1077205737356715
georgia,0.1916584960782811,-0.007525905391762901,0.009514572498941401,0.0172682094919662,0.002418702049893102,-0.01535680825972705,0.37223530448145326,-0.07798490230683885,0.006770246115158897,0.0011103047074759002,0.0907974128629,-0.01573746676358795,0.29861867459868585,0.028570620357614696,-0.03195021580257065,-0.06459537494701376,-0.0202129149586874,-0.00638125832571135,0.44504289225620214,-0.00080888666499115,-0.07260117082780435,-0.0144149845799553,0.07303500597369145,-0.0303230092993884,0.1060922371869364
idaho,0.1554008880100489,-0.0139640163545071,0.01155872768378945,-0.0108203467695831,-0.019616096189701247,-0.06267985743602206,0.41705152826776887,-0.09137267756724504,0.027934311799217494,-0.0783578072416841,-0.0335056366565127,-0.04545706048713135,0.37900892648234236,-0.0637008834717282,-0.0390570669569099,-0.07068295340092715,-0.055663176043951296,-0.0334567259419865,0.42537294197884584,-0.03850106918991185,-0.10952192374055104,0.0025038423426612492,0.0502528708258808,-0.021105800358046652,0.10309377999234365
illinois,0.17764242800457794,0.032906915746867146,0.08118282102621441,0.01235443710054435,-0.01935233295767285,-0.017078691936501002,0.44287970347854655,-0.019097114048356748,0.0216161145518637,-0.00037737220297410015,-0.0030226307594314,-0.0809741409993845,0.35699518579248096,-0.047170837988460154,-0.04817199080219975,-0.022498642656511803,0.00871263291960285,-0.0037563463542922507,0.44836557705095503,-0.01878763760282835,-0.13182757423312036,-0.05113468050256975,0.06094507618155815,-0.02396543678512915,0.11222499899262045
indiana,0.19430582235676636,0.06313292372382376,0.07489730499813904,-0.0317869594543235,-0.03371483489239065,-0.08152448754367204,0.37058475167180915,-0.0049165015319726,0.03171580503942685,0.032664554635457956,-0.08689190496569345,0.041740974251241306,0.38330986748894474,-0.0888660763157939,-0.01854683261821235,0.0709619104132185,0.0123270343955133,-0.055742343247389844,0.5082096881019046,-0.07880662849567426,-0.15191951409676752,-0.0883271291935801,0.042972006589278494,-0.052540542642804895,0.09033744422491925
iowa,0.2151439946989986,-0.08688460193214236,0.02421307844807145,-0.0154200533573771,-0.05365318562669549,0.0518934459959389,0.3909343887253143,0.07667612060430845,0.0843818607378233,0.024437584163305402,-0.05959770914775725,0.0477765519056522,0.3532539086084489,-0.024705897127896198,0.02321668639406235,0.0996956131699763,-0.011159142904225849,0.0164368843617031,0.5142572843451209,0.02747288258986965,-0.017200018589087797,-0.070208074163346,0.07964693553736135,-0.0337253332580291,0.11273485169136001
kansas,0.1248739054677502,-0.029606401721900596,-0.02598622854147805,0.014542407804741002,-0.0480275216399577,0.02344881151412395,0.3665535698844314,-0.0429362349750379,0.034313556545062046,0.038682088583017804,0.023660548169907897,0.018604165824310348,0.2955602773898212,0.0016251794098693494,-0.0437963431784512,0.007342548613034549,0.0261063265864359,0.01034461864584265,0.47122618344888845,0.0144070676800162,0.015972893078840752,0.0085065073976927,0.09643408870465686,-0.0315690207348441,0.113857697343793
kentucky,0.23955547597080995,0.0706744169028497,0.033843790164889295,0.00328017601966365,-0.025943489783474702,-0.09290687047728606,0.3876051059217129,-0.0061556645886185,0.032005212139428,-0.067271761172857,-0.05211145365989925,-0.052326264524049704,0.3080022347050607,-0.12501361669016936,-0.11782067086373085,-0.022190834059167552,-0.039030246738209554,-0.09362168722991096,0.4483809716793094,-0.11370487766748096,-0.18785753514276,-0.0554294174056921,0.0811862790064119,-0.0418900675509733,0.10782577109072275
louisiana,0.2880236708002863,0.025369796752983,-0.0209101002438921,-0.010331799667215251,-0.10315622373880025,-0.2033364846282275,0.21210700822608997,-0.1363244158815308,-0.173804141888629,0.0275672457768393,-0.0502104577112958,-0.10937138043149205,0.39978652103562096,0.003944804948481505,0.036057486559622196,-0.1696117804773705,0.01475157359126645,-0.08549053985334065,0.407803942213778,-0.0924833807608828,-0.10727293837693895,-0.04471221383977835,0.0516145217739766,-0.00045768913794230065,0.12922682313326345
maine,0.1141587063624911,0.06844436475802135,0.011331103037980551,0.003918935060888051,-0.0208893426148673,-0.08765012117783956,0.33805088827950774,0.015003250747119602,-0.002452031108759651,0.03587877789080235,-0.00590486629827265,-0.05439378842089885,0.36681701304868863,-0.0273600414772188,-0.0329870209720382,-0.0080776677800613,0.0206914490775666,-0.05123112611473635,0.48245636763768207,-0.056791133151459394,-0.042165492069562306,-0.04514728692449525,0.10658431101408535,-0.036611909766393995,0.10913893832834634
maryland,0.18492180883537615,0.0206275962731208,-0.02257943889877465,0.004167941014515151,-0.09832161191320371,-0.0698125290381862,0.3611128253329886,0.019661004798544896,0.00106217321589,0.04546978816331665,0.03413486176745105,-0.0936564251755059,0.35203934650487007,-0.0425792711423598,-0.0018363143186763504,-0.02327680268941645,0.0230048725969112,-0.03921210635541185,0.47577218056210824,-0.04883032307797025,-0.0479464154761204,-0.03830736899810105,0.00987397911014525,-0.0340449716575492,0.12077271241506857
michigan,0.2820513939478399,0.03890621572449845,0.060769395944583846,0.02519881700995295,5.6365310794850854e-05,0.007151300287697098,0.38359780480320194,0.011441321405919351,-0.005222873172657599,0.05002699535019755,-0.02081721733107375,-0.02600109912446505,0.35407067975777806,-0.021095386608752348,0.0072675922320613005,-0.03226667703521105,0.06240953147095605,0.1113083537899987,0.4460097644535188,0.047454355110935195,0.1066079923592497,-0.019205820572080548,0.0498019742579531,-0.02398930006010685,0.118369044051958
