State,irf_1,irf_26,irf_51,irf_76,irf_101,irf_126,irf_151,irf_176,irf_201,irf_6,irf_31,irf_56,irf_81,irf_106,irf_131,irf_156,irf_181,irf_206,irf_11,irf_36,irf_61,irf_86,irf_111,irf_136,irf_161,irf_186,irf_211,irf_16,irf_41,irf_66,irf_91,irf_116,irf_141,irf_166,irf_191,irf_216,irf_21,irf_46,irf_71,irf_96,irf_121,irf_146,irf_171,irf_196,irf_221
alabama,1,0.341437092040363,0.116438723071994,0.0431079165136616,0.0191870955957394,0.0107354838280577,0.0071341646916557,0.0051760112205534,0.0038906482071266,0,-0.0554623187387891,-0.0719098081322025,-0.0711208071485773,-0.0645153688660933,-0.0566304849421704,-0.0490191511262035,-0.0421327351167496,-0.0360514894896123,0,0.0560296071217047,0.0633748603697214,0.0569297264857939,0.0479854993836784,0.0397011601521157,0.03271077557152,0.0269576353879982,0.0222428812101593,0,-0.0238822187630055,-0.0259902549595366,-0.0223408266702168,-0.0178694788243774,-0.0138839135476115,-0.0106094696728058,-0.0079879030639887,-0.005908285775705,0,-0.0651008748475219,-0.0279269109222759,-0.0034360236732152,0.0060027117626334,0.0083217611158241,0.0080682194147377,0.0070910785923209,0.0060251764058322
alaska,1,0.83220549299853,0.687787979214451,0.564647354948286,0.460021809116307,0.371393602650974,0.296582403660017,0.233702229510781,0.181111895011807,0,-0.0426210740978098,-0.067732823889086,-0.0791012532388175,-0.080129568243253,-0.0744920331304471,-0.06526198608891,-0.0546150615348482,-0.0439217086395973,0,-0.101021462119766,-0.12204515702224,-0.112506045858516,-0.094248711773814,-0.0756984060322128,-0.0595360379592029,-0.046225295477313,-0.0354916787097556,0,-0.0427683429507832,-0.0745730506878167,-0.0977505234023186,-0.113844126386741,-0.124152284439213,-0.129803308045501,-0.131764913534832,-0.1308545548374,0,0.0643037783174936,0.0747435762022625,0.0708124911650354,0.0631557064213259,0.0549167903453864,0.0470979900468208,0.0400159072094881,0.0337422584002455
california,1,0.333295072573751,0.109191573230358,0.047197460916197,0.032175540926081,0.0281872000003613,0.0262406776177838,0.0246370068606787,0.0232049069318137,0,-0.11397605041296,-0.148391638570064,-0.150289473328294,-0.142883909702317,-0.13409466002971,-0.125980632054143,-0.118865535687521,-0.112674128570823,0,0.112340384739178,0.139399603353291,0.136028377460556,0.125537529482084,0.115073306149798,0.106154514505796,0.098790314654579,0.0927137179444942,0,-0.042634194249966,-0.0648511263720845,-0.0779696531328791,-0.0870514041992072,-0.0939279455058911,-0.0992669414351377,-0.103383696857195,-0.106489620559972,0,-0.254074350872686,-0.113732849396279,-0.0218304458208421,0.0130121512293463,0.0227232052526627,0.024328886896411,0.0239071110630994,0.0231608651637202
colorado,1,0.258648729839293,0.0716125632056749,0.0158938081951606,-0.0010814071050425,-0.0058238703760362,-0.0067678295075193,-0.0066336697204436,-0.006266144891531,0,0.0185813641196309,0.0106768701605376,0.0094097833508963,0.0114095335478936,0.0141749783510159,0.0167870665978058,0.0189833057382786,0.0207282208308929,0,0.0521512155183706,0.0034652287182301,-0.0141285368350931,-0.0168072451018513,-0.015268409215187,-0.0131764821415456,-0.0114718456951553,-0.0102503999799866,0,0.0553516796331647,0.0589966604454066,0.0550568151688322,0.0501178895850224,0.0454512765357792,0.0412875979409357,0.0376109862781204,0.0343545275927794,0,-0.214193674256684,-0.0994341789960912,-0.0406161563044979,-0.0178720633431402,-0.0094302569934338,-0.0062354581837277,-0.0049560230052136,-0.0043890875055558
connecticut,1,0.292126223387532,0.0731564784573666,0.0134517534814294,-0.0017044813022557,-0.0059004836154555,-0.0075827011341225,-0.0085540910624387,-0.0091466261804792,0,0.08448010149301,0.112841624151806,0.120218228476022,0.120034332039473,0.116829926854808,0.112166700145534,0.10669886515877,0.100794290336637,0,-0.0796841713694664,-0.102900822558854,-0.0950168805342948,-0.077985023515802,-0.0607822815740302,-0.0459646143910386,-0.0338380722363265,-0.024100245397114,0,0.0208387180415794,0.0303817281415989,0.0358790817032331,0.0394904009631608,0.0418914784520859,0.0433700080640167,0.0441117823137398,0.0442651082450342,0,0.194113598416073,0.0759366448582237,0.0013361352862094,-0.0257970130732545,-0.031880949640208,-0.0309909062063744,-0.0283406936082165,-0.0255092305916169
florida,1,0.411847978488138,0.168666985573955,0.0694716963863907,0.0290394360604746,0.0123700891941123,0.005312965161099,0.0021848389557215,0.00070322755747,0,-0.0020226572231144,0.0084521974049111,0.0204102192369666,0.0304494123622711,0.0378064074199904,0.0426148363159123,0.0452758020975065,0.0462302545080851,0,-0.0769126546645964,-0.0991739616819314,-0.099682132205509,-0.0921447683449884,-0.0821327012339607,-0.0718633187902942,-0.062187909279267,-0.0534022683796499,0,0.0358806529930513,0.0416096688526508,0.0368752798837003,0.0293686160122396,0.0219320988363725,0.015493393814569,0.0102463775558967,0.0061199540886904,0,-0.0516885315123256,-0.0338378989700362,-0.018304604309756,-0.0102507215505946,-0.0065755620845261,-0.0049234165915751,-0.004120531774377,-0.0036554843421724
georgia,1,0.373000028027369,0.127928616184077,0.0434591706585594,0.016194725585651,0.0073035802465222,0.0040004797873408,0.0024476473464102,0.0015461670628219,0,0.0288648532079363,0.0015872481857777,-0.0230534577368866,-0.0366597447906389,-0.0419628005557247,-0.042460445640608,-0.0405354552645893,-0.0375657298685095,0,0.224055271366408,0.213119030198738,0.14676984043278,0.0868081142447228,0.0452703797530311,0.0193722533942449,0.0040764586361927,-0.0046204649719298,0,-0.0568851188784197,-0.0723056310156078,-0.0733483541531331,-0.0703523857104564,-0.0666049019517473,-0.0629637142495994,-0.0595784697273904,-0.0564334920494287,0,-0.174067194863545,-0.0660068624034548,-0.000691601229016,0.0187794486487367,0.0191067879290072,0.014632175205601,0.0103169641291932,0.0072105427934187
idaho,1,0.30954115110318,0.0990709938899832,0.0354924312462498,0.0162985942133533,0.0103933731203387,0.0084345483449643,0.0076361205318303,0.0071735839308302,0,-0.0728539733193031,-0.0939756744077556,-0.103056677519073,-0.107870901621326,-0.110215926933438,-0.110763568722414,-0.109933407357435,-0.108047528158426,0,0.0437522954093886,0.0445348502938126,0.0389668099644802,0.0335126466467146,0.0290270804856507,0.0254211309924764,0.0225036296064892,0.0201127435110456,0,-0.0632788849984743,-0.07808702180338,-0.0768949626650351,-0.071168288434256,-0.0646017677237801,-0.0582895593950362,-0.052505741552741,-0.0472795501729709,0,-0.146189874161799,-0.068939754485024,-0.0226680745745337,-0.0050535907521293,0.0003079232937315,0.0014205883533818,0.0012606249169178,0.0008080822341587
illinois,1,0.349149529469741,0.130061518243122,0.0537196207589042,0.0257058996720777,0.0145343446288393,0.0094971008534639,0.0068622881530285,0.0052783761583693,0,-0.0141734678200367,-0.0286463165742374,-0.0351146591665151,-0.0369615004327491,-0.0367582659831582,-0.0357280359957518,-0.0343867775733982,-0.0329469430824208,0,0.029682774476889,0.0506287236376224,0.0545235386266602,0.050855680899292,0.045219371716589,0.0397823458637344,0.0351509198376074,0.0313631153280564,0,-0.020880125854176,-0.0241171594588476,-0.023682170515601,-0.0226440281536173,-0.0216358688018134,-0.0207537666570658,-0.0199839160529653,-0.0192974377387857,0,-0.249481680646204,-0.135428315396466,-0.0529196259651293,-0.0153886813778121,-0.0007258432684177,0.0044905447613108,0.0061353265394149,0.0064977625367763
indiana,1,0.383076984970362,0.110905511839936,-0.0051544854359001,-0.0459209080397851,-0.0518833640112317,-0.0439721695782515,-0.0324763467364934,-0.021875823970166,0,-0.16969942100281,-0.200293220324665,-0.16719144244943,-0.117249284133157,-0.0720510549937201,-0.0385281544337569,-0.0166938078532191,-0.0040381555771953,0,-0.13525565549763,-0.160937258121797,-0.146016569434788,-0.118279310925123,-0.0897603437518133,-0.0652475338765359,-0.0460210089082837,-0.0317703152666015,0,0.0686676817611723,0.0732561390652647,0.0591245937174367,0.0417337035250902,0.0264833925805423,0.0148317314326583,0.0066504459154659,0.0012664514250907,0,-0.134139607190725,-0.0751525955713208,-0.0238186711245292,0.0008572201432715,0.0084893270710453,0.0082779162822681,0.0055346597431707,0.0027062857767705
iowa,1,0.460467333833631,0.210099239036558,0.0944361905403632,0.0416384883193739,0.0179918549997883,0.00768734569414,0.0033656657298201,0.0016455641004167,0,0.0150812492925298,0.0139388092829417,0.0089302273311972,0.0043039288850965,0.0011519693821322,-0.0005711765345165,-0.001233300662393,-0.0012174655866842,0,-0.118624241760998,-0.151610322375464,-0.148873971144606,-0.133092231366565,-0.114200682756588,-0.0962431719629022,-0.0806045370291253,-0.0675233984925114,0,0.0851036504309756,0.114287575908977,0.119334046230565,0.114546799447221,0.10629462966346,0.0973162435573396,0.088705642699348,0.080830804814042,0,-0.0494812864707054,-0.0595534222585867,-0.056529483158571,-0.0496536042781251,-0.0423285963711834,-0.0357362566186774,-0.0301793444356338,-0.0256245858376827
kansas,1,0.249082472712127,0.0584246179156054,0.0104890450408282,-0.0004726602179988,-0.0021030239505077,-0.001683419037575,-0.0010433438217748,-0.0005595986098013,0,0.0369249395355498,0.0321235169084881,0.0229400930483893,0.0158570274719139,0.0111253036021795,0.0080618412635305,0.0060689236531738,0.0047471502460103,0,0.0392592550762853,0.0341638377274459,0.0225757637890607,0.0134482386015864,0.0076332255548049,0.0042405227499644,0.0023455113197062,0.0013097456470451,0,0.0059500438636639,0.0087350533624052,0.0099586747459725,0.0104026858452941,0.0104432206514465,0.0102672413118128,0.0099726834926981,0.0096138165640176,0,-0.0049791533778683,0.0052012963242684,0.0072807357576235,0.0055896238528245,0.0033942427965844,0.0017253903229709,0.0006653382233734,5.13234985149121e-05
