State,irf_196,irf_221,irf_171,irf_146,irf_216,irf_191,irf_166,irf_141,irf_116,irf_131,irf_156,irf_91,irf_121,irf_106,irf_181,irf_66,irf_206,irf_81,irf_41,irf_56,irf_31,irf_96,irf_201,irf_176,irf_151
alabama,0.0070910785923209,0.0060251764058322,0.0080682194147377,0.0083217611158241,-0.005908285775705,-0.0079879030639887,-0.0106094696728058,-0.0138839135476115,-0.0178694788243774,-0.0566304849421704,-0.0490191511262035,-0.0223408266702168,0.0060027117626334,-0.0645153688660933,-0.0421327351167496,-0.0259902549595366,-0.0360514894896123,-0.0711208071485773,-0.0238822187630055,-0.0719098081322025,-0.0554623187387891,-0.0034360236732152,0.0038906482071266,0.0051760112205534,0.0071341646916557
alaska,0.0400159072094881,0.0337422584002455,0.0470979900468208,0.0549167903453864,-0.1308545548374,-0.131764913534832,-0.129803308045501,-0.124152284439213,-0.113844126386741,-0.0744920331304471,-0.06526198608891,-0.0977505234023186,0.0631557064213259,-0.080129568243253,-0.0546150615348482,-0.0745730506878167,-0.0439217086395973,-0.0791012532388175,-0.0427683429507832,-0.067732823889086,-0.0426210740978098,0.0708124911650354,0.181111895011807,0.233702229510781,0.296582403660017
california,0.0239071110630994,0.0231608651637202,0.024328886896411,0.0227232052526627,-0.106489620559972,-0.103383696857195,-0.0992669414351377,-0.0939279455058911,-0.0870514041992072,-0.13409466002971,-0.125980632054143,-0.0779696531328791,0.0130121512293463,-0.142883909702317,-0.118865535687521,-0.0648511263720845,-0.112674128570823,-0.150289473328294,-0.042634194249966,-0.148391638570064,-0.11397605041296,-0.0218304458208421,0.0232049069318137,0.0246370068606787,0.0262406776177838
colorado,-0.0049560230052136,-0.0043890875055558,-0.0062354581837277,-0.0094302569934338,0.0343545275927794,0.0376109862781204,0.0412875979409357,0.0454512765357792,0.0501178895850224,0.0141749783510159,0.0167870665978058,0.0550568151688322,-0.0178720633431402,0.0114095335478936,0.0189833057382786,0.0589966604454066,0.0207282208308929,0.0094097833508963,0.0553516796331647,0.0106768701605376,0.0185813641196309,-0.0406161563044979,-0.006266144891531,-0.0066336697204436,-0.0067678295075193
connecticut,-0.0283406936082165,-0.0255092305916169,-0.0309909062063744,-0.031880949640208,0.0442651082450342,0.0441117823137398,0.0433700080640167,0.0418914784520859,0.0394904009631608,0.116829926854808,0.112166700145534,0.0358790817032331,-0.0257970130732545,0.120034332039473,0.10669886515877,0.0303817281415989,0.100794290336637,0.120218228476022,0.0208387180415794,0.112841624151806,0.08448010149301,0.0013361352862094,-0.0091466261804792,-0.0085540910624387,-0.0075827011341225
florida,-0.004120531774377,-0.0036554843421724,-0.0049234165915751,-0.0065755620845261,0.0061199540886904,0.0102463775558967,0.015493393814569,0.0219320988363725,0.0293686160122396,0.0378064074199904,0.0426148363159123,0.0368752798837003,-0.0102507215505946,0.0304494123622711,0.0452758020975065,0.0416096688526508,0.0462302545080851,0.0204102192369666,0.0358806529930513,0.0084521974049111,-0.0020226572231144,-0.018304604309756,0.00070322755747,0.0021848389557215,0.005312965161099
georgia,0.0103169641291932,0.0072105427934187,0.014632175205601,0.0191067879290072,-0.0564334920494287,-0.0595784697273904,-0.0629637142495994,-0.0666049019517473,-0.0703523857104564,-0.0419628005557247,-0.042460445640608,-0.0733483541531331,0.0187794486487367,-0.0366597447906389,-0.0405354552645893,-0.0723056310156078,-0.0375657298685095,-0.0230534577368866,-0.0568851188784197,0.0015872481857777,0.0288648532079363,-0.000691601229016,0.0015461670628219,0.0024476473464102,0.0040004797873408
idaho,0.0012606249169178,0.0008080822341587,0.0014205883533818,0.0003079232937315,-0.0472795501729709,-0.052505741552741,-0.0582895593950362,-0.0646017677237801,-0.071168288434256,-0.110215926933438,-0.110763568722414,-0.0768949626650351,-0.0050535907521293,-0.107870901621326,-0.109933407357435,-0.07808702180338,-0.108047528158426,-0.103056677519073,-0.0632788849984743,-0.0939756744077556,-0.0728539733193031,-0.0226680745745337,0.0071735839308302,0.0076361205318303,0.0084345483449643
illinois,0.0061353265394149,0.0064977625367763,0.0044905447613108,-0.0007258432684177,-0.0192974377387857,-0.0199839160529653,-0.0207537666570658,-0.0216358688018134,-0.0226440281536173,-0.0367582659831582,-0.0357280359957518,-0.023682170515601,-0.0153886813778121,-0.0369615004327491,-0.0343867775733982,-0.0241171594588476,-0.0329469430824208,-0.0351146591665151,-0.020880125854176,-0.0286463165742374,-0.0141734678200367,-0.0529196259651293,0.0052783761583693,0.0068622881530285,0.0094971008534639
indiana,0.0055346597431707,0.0027062857767705,0.0082779162822681,0.0084893270710453,0.0012664514250907,0.0066504459154659,0.0148317314326583,0.0264833925805423,0.0417337035250902,-0.0720510549937201,-0.0385281544337569,0.0591245937174367,0.0008572201432715,-0.117249284133157,-0.0166938078532191,0.0732561390652647,-0.0040381555771953,-0.16719144244943,0.0686676817611723,-0.200293220324665,-0.16969942100281,-0.0238186711245292,-0.021875823970166,-0.0324763467364934,-0.0439721695782515
