State,G_score
alabama,-0.1929889346309317
alabama,-1.1732102238820712
alabama,-0.1929889346309317
alabama,-0.19262280371245516
alabama,-0.19262280371245516
alabama,-0.9514196442625096
alabama,-0.19262280371245516
alabama,-0.20910558834689774
alabama,-0.20910558834689774
alabama,-0.20910558834689774
alabama,-0.20910558834689774
alabama,-2.3670804989614957
alabama,-2.5556788836091466
alaska,-0.2896980870640644
alaska,-0.2896980870640644
alaska,-0.976733402405613
alaska,-1.1948078710829997
alaska,-0.9807283642767498
alaska,-1.183912360712825
alaska,-1.400190610957859
alaska,-0.1500178374724448
alaska,-0.1500178374724448
alaska,-1.1530843125169508
alaska,-0.1500178374724448
alaska,-0.4055910985776579
alaska,-0.4055910985776579
arizona,-2.942700821190217
arizona,-1.7010260428379544
arizona,-2.797885244430143
arizona,-0.3229732915313723
arizona,-0.3229732915313723
arizona,-0.3229732915313723
arizona,-0.3229732915313723
arizona,-4.440892098500626e-16
arizona,-4.440892098500626e-16
arizona,-4.440892098500626e-16
arizona,-4.440892098500626e-16
arizona,-0.7885263555907729
arizona,-0.7885263555907729
arkansas,-0.7047173258932506
arkansas,-0.7047173258932506
arkansas,-0.7047173258932506
arkansas,-0.2315836467641659
arkansas,-0.2315836467641659
arkansas,-0.7587798350449554
arkansas,-0.9728719660748976
arkansas,-0.46471102603245357
arkansas,-0.855230077385358
arkansas,-0.46471102603245357
arkansas,-0.46471102603245357
arkansas,-0.617151335783673
arkansas,-0.617151335783673
california,-0.22001039678794299
california,-0.22001039678794299
california,-0.22001039678794299
california,-0.7720431271752476
california,-0.7720431271752476
california,-0.7720431271752476
california,-0.7720431271752476
california,-0.40408205793336993
california,-0.40408205793336993
california,-0.40408205793336993
california,-0.40408205793336993
california,-1.2958971431428064
california,-1.2958971431428064
colorado,-0.316513909370402
colorado,-0.316513909370402
colorado,-0.316513909370402
colorado,-0.34275035939107346
colorado,-0.34275035939107346
colorado,-0.34275035939107346
colorado,-0.34275035939107346
colorado,-0.1943672194383897
colorado,-0.1943672194383897
colorado,-0.1943672194383897
colorado,-0.1943672194383897
colorado,-0.757626343418002
colorado,-0.757626343418002
connecticut,-0.6132023780328545
connecticut,-0.6132023780328545
connecticut,-0.6132023780328545
connecticut,-0.1591103577409496
connecticut,-0.9451187559155803
connecticut,-0.1591103577409496
connecticut,-0.1591103577409496
connecticut,-1.168649132223463
connecticut,-0.9436606499724656
connecticut,-0.1505885563948686
connecticut,-0.1505885563948686
connecticut,-0.3146127666937044
connecticut,-0.3146127666937044
delaware,-0.18340343073231744
delaware,-0.18340343073231744
delaware,-0.9656234829899147
delaware,-0.8252632754820728
delaware,-0.3988147174951619
delaware,-1.0161935281202392
delaware,-1.0161935281202392
delaware,-1.3977719010031804
delaware,-1.2138511758844939
delaware,-0.7798456816932708
delaware,-1.3826769839606574
delaware,-5.8398025193087095
delaware,-5.836878231221014
florida,-0.16772060274139067
florida,-0.16772060274139067
florida,-2.2031887532941212
florida,-0.14023310459204005
florida,-0.14023310459204005
florida,-0.14023310459204005
florida,-0.14023310459204005
florida,-0.7995033540790587
florida,-0.7995033540790587
florida,-0.7995033540790587
florida,-0.7995033540790587
florida,-3.11596565892555
florida,-3.11596565892555
georgia,-0.923778506794301
georgia,-0.923778506794301
georgia,-0.923778506794301
georgia,-0.9738147059787002
georgia,-0.9738147059787002
georgia,-0.9738147059787002
georgia,-0.9738147059787002
georgia,-2.1620049640295047
georgia,-2.1620049640295047
georgia,-2.1620049640295047
georgia,-2.1620049640295047
georgia,-1.79796733985798
georgia,-2.9016431242036926
hawaii,-0.18550404787365876
hawaii,-0.18550404787365876
hawaii,-0.18550404787365876
hawaii,-0.2157980209567797
hawaii,-0.2157980209567797
hawaii,-0.2157980209567797
hawaii,-0.2157980209567797
hawaii,-0.12027776746694434
hawaii,-0.12027776746694434
hawaii,-0.12027776746694434
hawaii,-0.12027776746694434
hawaii,-0.4040121207166128
hawaii,-0.4040121207166128
idaho,-0.306571904582688
idaho,-0.306571904582688
idaho,-0.306571904582688
idaho,-0.2534633056345838
idaho,-0.2534633056345838
idaho,-0.2534633056345838
idaho,-0.2534633056345838
idaho,-0.11581510673460131
idaho,-2.2010851569802132
idaho,-0.11581510673460131
idaho,-0.11581510673460131
idaho,-0.6085404067328467
idaho,-0.6085404067328467
illinois,-0.2759201464394104
illinois,-0.2759201464394104
illinois,-0.2759201464394104
illinois,-0.19019271445313946
illinois,-0.19019271445313946
illinois,-0.9498543519531232
illinois,-0.19019271445313946
illinois,-1.3232074445325586
illinois,-1.1292784558236406
illinois,-0.6384611899461401
illinois,-0.6384611899461401
illinois,-0.5908349629351772
illinois,-0.5908349629351772
indiana,-1.1984485616031852
indiana,-0.29673397319556455
