State,iso_score,normal_score
arizona,0.28594793581687794,-0.28594793581687794
arizona,0.28594793581687794,-0.28594793581687794
arizona,0.25723853046050504,-0.25723853046050504
arizona,0.25723853046050504,-0.25723853046050504
arizona,0.25723853046050504,-0.25723853046050504
arizona,0.25723853046050504,-0.25723853046050504
florida,0.2324428044775264,-0.2324428044775264
florida,0.2324428044775264,-0.2324428044775264
delaware,0.2306811259731123,-0.2306811259731123
utah,0.22652398049614464,-0.22652398049614464
utah,0.22652398049614464,-0.22652398049614464
delaware,0.22606071920430648,-0.22606071920430648
utah,0.21685960994315057,-0.21685960994315057
utah,0.20997662852168797,-0.20997662852168797
utah,0.20997662852168797,-0.20997662852168797
utah,0.20997662852168797,-0.20997662852168797
california,0.1789233134260153,-0.1789233134260153
california,0.1789233134260153,-0.1789233134260153
michigan,0.17446405932502806,-0.17446405932502806
michigan,0.17446405932502806,-0.17446405932502806
arizona,0.17121471730062454,-0.17121471730062454
arizona,0.17121471730062454,-0.17121471730062454
illinois,0.16959774903778502,-0.16959774903778502
illinois,0.16959774903778502,-0.16959774903778502
illinois,0.16959774903778502,-0.16959774903778502
illinois,0.16959774903778502,-0.16959774903778502
utah,0.16613688603532328,-0.16613688603532328
utah,0.16613688603532328,-0.16613688603532328
utah,0.16613688603532328,-0.16613688603532328
utah,0.16613688603532328,-0.16613688603532328
arizona,0.16575938926887823,-0.16575938926887823
arizona,0.16575938926887823,-0.16575938926887823
arizona,0.16575938926887823,-0.16575938926887823
arizona,0.16575938926887823,-0.16575938926887823
nebraska,0.15297598776818233,-0.15297598776818233
nebraska,0.15297598776818233,-0.15297598776818233
arizona,0.1495650461528809,-0.1495650461528809
arizona,0.1495650461528809,-0.1495650461528809
alabama,0.14514210794302917,-0.14514210794302917
south dakota,0.14373963383890986,-0.14373963383890986
south dakota,0.14373963383890986,-0.14373963383890986
south dakota,0.14373963383890986,-0.14373963383890986
south dakota,0.14373963383890986,-0.14373963383890986
alabama,0.13647355820126006,-0.13647355820126006
west virginia,0.13567723137269005,-0.13567723137269005
utah,0.12933438401894548,-0.12933438401894548
utah,0.12933438401894548,-0.12933438401894548
utah,0.12933438401894548,-0.12933438401894548
utah,0.12933438401894548,-0.12933438401894548
virginia,0.1289376067787208,-0.1289376067787208
virginia,0.1289376067787208,-0.1289376067787208
ohio,0.12455573263386055,-0.12455573263386055
ohio,0.12455573263386055,-0.12455573263386055
west virginia,0.12301384358247158,-0.12301384358247158
west virginia,0.12301384358247158,-0.12301384358247158
west virginia,0.12301384358247158,-0.12301384358247158
arizona,0.12163203792370891,-0.12163203792370891
arizona,0.12163203792370891,-0.12163203792370891
arizona,0.12163203792370891,-0.12163203792370891
arizona,0.12163203792370891,-0.12163203792370891
illinois,0.12066373189116941,-0.12066373189116941
illinois,0.12066373189116941,-0.12066373189116941
georgia,0.12060009252867365,-0.12060009252867365
south dakota,0.11943126594271825,-0.11943126594271825
south dakota,0.11943126594271825,-0.11943126594271825
south dakota,0.11943126594271825,-0.11943126594271825
south dakota,0.11943126594271825,-0.11943126594271825
pennsylvania,0.11750640053379147,-0.11750640053379147
pennsylvania,0.11750640053379147,-0.11750640053379147
utah,0.09828545349415552,-0.09828545349415552
utah,0.09828545349415552,-0.09828545349415552
utah,0.09828545349415552,-0.09828545349415552
utah,0.09828545349415552,-0.09828545349415552
wisconsin,0.0960221509283763,-0.0960221509283763
wisconsin,0.0960221509283763,-0.0960221509283763
illinois,0.09596604622241245,-0.09596604622241245
illinois,0.09596604622241245,-0.09596604622241245
illinois,0.09596604622241245,-0.09596604622241245
illinois,0.09596604622241245,-0.09596604622241245
south dakota,0.09566651712029961,-0.09566651712029961
south dakota,0.09566651712029961,-0.09566651712029961
virginia,0.09369676526127502,-0.09369676526127502
virginia,0.09369676526127502,-0.09369676526127502
virginia,0.09369676526127502,-0.09369676526127502
virginia,0.09369676526127502,-0.09369676526127502
georgia,0.09350064430001814,-0.09350064430001814
oklahoma,0.09306734783647552,-0.09306734783647552
oklahoma,0.09306734783647552,-0.09306734783647552
oklahoma,0.09306734783647552,-0.09306734783647552
texas,0.09214469983829998,-0.09214469983829998
texas,0.09214469983829998,-0.09214469983829998
arizona,0.09081567487355224,-0.09081567487355224
arizona,0.09081567487355224,-0.09081567487355224
arizona,0.09081567487355224,-0.09081567487355224
missouri,0.09067610904798717,-0.09067610904798717
missouri,0.09067610904798717,-0.09067610904798717
arizona,0.0895540545862904,-0.0895540545862904
rhode island,0.0868968055943301,-0.0868968055943301
utah,0.08317858397968625,-0.08317858397968625
utah,0.08317858397968625,-0.08317858397968625
utah,0.08317858397968625,-0.08317858397968625
utah,0.08132791603788347,-0.08132791603788347
delaware,0.0796630126121024,-0.0796630126121024
delaware,0.0796630126121024,-0.0796630126121024
delaware,0.0796630126121024,-0.0796630126121024
california,0.07878291245395275,-0.07878291245395275
california,0.07878291245395275,-0.07878291245395275
california,0.07878291245395275,-0.07878291245395275
california,0.07878291245395275,-0.07878291245395275
washington,0.06923147081247649,-0.06923147081247649
washington,0.06923147081247649,-0.06923147081247649
virginia,0.06806620735983804,-0.06806620735983804
virginia,0.06806620735983804,-0.06806620735983804
virginia,0.06806620735983804,-0.06806620735983804
virginia,0.06806620735983804,-0.06806620735983804
idaho,0.06746009798591523,-0.06746009798591523
idaho,0.06746009798591523,-0.06746009798591523
illinois,0.06704500259675872,-0.06704500259675872
illinois,0.06704500259675872,-0.06704500259675872
illinois,0.06704500259675872,-0.06704500259675872
illinois,0.06704500259675872,-0.06704500259675872
