State,YearQuarter,EPU_value_Quarterly
alabama,2000 Q1,121.7939745624501
alabama,2000 Q2,72.13976920756383
alabama,2000 Q3,98.38912405700516
alabama,2000 Q4,149.43359844808785
alabama,2001 Q1,247.65203583285498
alabama,2001 Q2,142.28547849103603
alabama,2001 Q3,210.70939916187362
alabama,2001 Q4,298.09300626892565
alabama,2002 Q1,164.62660060996066
alabama,2002 Q2,101.41004166862858
alabama,2002 Q3,121.10303036611033
alabama,2002 Q4,174.192406776895
alabama,2003 Q1,244.00681418044334
alabama,2003 Q2,146.22132213128802
alabama,2003 Q3,129.65026486307158
alabama,2003 Q4,68.97492905455266
alabama,2004 Q1,116.82122153366913
alabama,2004 Q2,72.87879790448433
alabama,2004 Q3,129.49162510185207
alabama,2004 Q4,140.6510393725203
alabama,2005 Q1,69.20885404323575
alabama,2005 Q2,109.19194701045221
alabama,2005 Q3,107.75031137665881
alabama,2005 Q4,63.52991563826307
alabama,2006 Q1,58.269702974737804
alabama,2006 Q2,90.09487612190249
alabama,2006 Q3,110.41801476905204
alabama,2006 Q4,73.44055762290073
alabama,2007 Q1,108.96855286932947
alabama,2007 Q2,67.29536611736506
alabama,2007 Q3,91.67121796159493
alabama,2007 Q4,142.98134287259333
alabama,2008 Q1,226.264319096147
alabama,2008 Q2,114.74755179026117
alabama,2008 Q3,235.62148223042269
alabama,2008 Q4,384.19994159588435
alabama,2009 Q1,377.09632225008835
alabama,2009 Q2,175.58115179576566
alabama,2009 Q3,148.28070450851635
alabama,2009 Q4,193.72278594520563
alabama,2010 Q1,156.58556556537965
alabama,2010 Q2,178.79233050556732
alabama,2010 Q3,205.77742919231568
alabama,2010 Q4,238.4282159532253
alabama,2011 Q1,158.57195104613166
alabama,2011 Q2,105.859103754827
alabama,2011 Q3,288.84647375496564
alabama,2011 Q4,266.35221609871604
alabama,2012 Q1,89.40050736770083
alabama,2012 Q2,119.79862836089622
alabama,2012 Q3,176.20735591526432
alabama,2012 Q4,262.1565152588237
alabama,2013 Q1,241.77260065733233
alabama,2013 Q2,69.5592645130033
alabama,2013 Q3,70.1666610728963
alabama,2013 Q4,136.7784161082716
alabama,2014 Q1,90.45418222489724
alabama,2014 Q2,131.79152833448765
alabama,2014 Q3,82.91188395662363
alabama,2014 Q4,122.91415036858687
alabama,2015 Q1,60.78163142066853
alabama,2015 Q2,72.55165197927754
alabama,2015 Q3,104.81424478801996
alabama,2015 Q4,90.9425716064826
alabama,2016 Q1,99.0485850907105
alabama,2016 Q2,77.46528476301374
alabama,2016 Q3,65.94407309590383
alabama,2016 Q4,92.41466924616998
alabama,2017 Q1,111.50799499365183
alabama,2017 Q2,67.11316865497001
alabama,2017 Q3,82.96346843447607
alabama,2017 Q4,83.74812220403051
alabama,2018 Q1,97.530887613618
alabama,2018 Q2,184.8279230603301
alabama,2018 Q3,137.04820231624947
alabama,2018 Q4,129.08518504062116
alabama,2019 Q1,96.70575699983253
alabama,2019 Q2,80.8899800585979
alabama,2019 Q3,109.53654968114252
alabama,2019 Q4,43.56546383529733
alabama,2020 Q1,199.7593724302794
alabama,2020 Q2,507.82425737238003
alabama,2020 Q3,349.811745563074
alabama,2020 Q4,169.555759668553
alabama,2021 Q1,244.322610137448
alabama,2021 Q2,91.92982556447153
alabama,2021 Q3,108.63140979486248
alabama,2021 Q4,84.32193373998327
alabama,2022 Q1,124.57312286060873
alabama,2022 Q2,51.9712000957225
alabama,2022 Q3,130.57802610355054
alabama,2022 Q4,115.13789693503954
alabama,2023 Q1,77.81523552202347
alabama,2023 Q2,65.6728842764832
alabama,2023 Q3,79.49483848956483
alabama,2023 Q4,81.42867658994336
alabama,2024 Q1,76.11971596990733
alabama,2024 Q2,78.87275145166917
alabama,2024 Q3,182.62846721087234
alabama,2024 Q4,182.25162070105156
alaska,2000 Q1,118.2488685278664
alaska,2000 Q2,151.18446656676207
alaska,2000 Q3,68.83024051499164
alaska,2000 Q4,83.80624249078747
alaska,2001 Q1,95.76024209336178
alaska,2001 Q2,60.060865366165196
alaska,2001 Q3,65.67525726292986
alaska,2001 Q4,137.97837528349734
alaska,2002 Q1,102.81245459373447
alaska,2002 Q2,104.0439374231516
alaska,2002 Q3,150.27311583338167
alaska,2002 Q4,171.89892430594674
alaska,2003 Q1,102.63577279176091
alaska,2003 Q2,174.17922520881766
alaska,2003 Q3,76.18987959261943
alaska,2003 Q4,73.77910632126883
alaska,2004 Q1,167.76025026800434
alaska,2004 Q2,131.7195511336028
alaska,2004 Q3,65.0188884376896
alaska,2004 Q4,92.3589919040586
alaska,2005 Q1,98.473996396698
alaska,2005 Q2,113.34081214071735
alaska,2005 Q3,64.20324355611993
alaska,2005 Q4,114.2375822128757
alaska,2006 Q1,105.75660519532143
alaska,2006 Q2,176.34621793821566
alaska,2006 Q3,106.0661280383898
alaska,2006 Q4,150.41245284792933
alaska,2007 Q1,110.8103835412184
alaska,2007 Q2,94.55871648624596
alaska,2007 Q3,69.86513145718433
alaska,2007 Q4,129.90102479346766
alaska,2008 Q1,123.74627977184066
alaska,2008 Q2,88.6478365701209
alaska,2008 Q3,98.8942626098259
alaska,2008 Q4,178.29688715178466
alaska,2009 Q1,274.88414685150565
alaska,2009 Q2,229.74138442568065
alaska,2009 Q3,125.0431473235321
alaska,2009 Q4,196.690115905586
alaska,2010 Q1,235.86040529090633
alaska,2010 Q2,100.90822710915917
alaska,2010 Q3,177.56486575343732
alaska,2010 Q4,172.48790100522731
alaska,2011 Q1,311.8919468598597
alaska,2011 Q2,112.957115015447
alaska,2011 Q3,274.59406560482665
alaska,2011 Q4,131.840173407937
alaska,2012 Q1,190.47895322565853
alaska,2012 Q2,191.5948402388217
alaska,2012 Q3,164.16750901843983
alaska,2012 Q4,91.71798909327326
alaska,2013 Q1,138.22787758958833
alaska,2013 Q2,125.09154333214417
alaska,2013 Q3,173.13389832198095
alaska,2013 Q4,103.61166529593449
alaska,2014 Q1,165.193380497872
alaska,2014 Q2,116.68332866288567
alaska,2014 Q3,169.67976569167084
alaska,2014 Q4,231.407033837061
alaska,2015 Q1,257.428264410955
alaska,2015 Q2,187.67282521275834
alaska,2015 Q3,216.27903602280534
alaska,2015 Q4,170.13379727048866
alaska,2016 Q1,320.8469977338513
alaska,2016 Q2,475.0135361101023
alaska,2016 Q3,226.83234625461668
alaska,2016 Q4,320.8829071333067
alaska,2017 Q1,285.185955121358
alaska,2017 Q2,450.457890422977
alaska,2017 Q3,334.405331164948
alaska,2017 Q4,123.473008574086
alaska,2018 Q1,159.65157877935098
alaska,2018 Q2,139.82742769721634
alaska,2018 Q3,267.15605581265703
alaska,2018 Q4,279.63479191780766
alaska,2019 Q1,377.88689361490634
alaska,2019 Q2,425.89814752265573
alaska,2019 Q3,585.829111386165
alaska,2019 Q4,282.27358977128034
alaska,2020 Q1,623.2140360376876
alaska,2020 Q2,1168.127442048671
alaska,2020 Q3,615.1060367457244
alaska,2020 Q4,531.4710699459977
alaska,2021 Q1,507.283104734285
alaska,2021 Q2,271.3303605257324
alaska,2021 Q3,330.644994971514
alaska,2021 Q4,269.5311366166357
alaska,2022 Q1,260.30543216790335
alaska,2022 Q2,214.12888436053063
alaska,2022 Q3,262.0281571579453
alaska,2022 Q4,190.46583290817202
alaska,2023 Q1,318.90702668010965
alaska,2023 Q2,163.94493522308065
alaska,2023 Q3,182.86017070737583
alaska,2023 Q4,168.27709575262733
alaska,2024 Q1,230.04813121335735
alaska,2024 Q2,239.09993685361232
alaska,2024 Q3,250.46333936757165
alaska,2024 Q4,245.4378513999608
california,2000 Q1,110.26235765931148
california,2000 Q2,151.401409166744
california,2000 Q3,113.26933837566067
california,2000 Q4,249.17371117778234
california,2001 Q1,251.98380680632968
california,2001 Q2,248.98624063546103
california,2001 Q3,279.50719267364866
california,2001 Q4,382.04615139924334
california,2002 Q1,200.486067588083
california,2002 Q2,192.70213835373
california,2002 Q3,223.91891712023002
california,2002 Q4,226.18469009468535
california,2003 Q1,293.665595409976
california,2003 Q2,198.250006272493
california,2003 Q3,214.31440282928668
california,2003 Q4,142.47037047729535
california,2004 Q1,180.14861379531234
california,2004 Q2,148.27364245000032
california,2004 Q3,128.46474212270346
california,2004 Q4,117.04004913820756
california,2005 Q1,108.7885397719934
california,2005 Q2,118.5254220981448
california,2005 Q3,114.29666936605422
california,2005 Q4,93.5722170463013
california,2006 Q1,65.7294767096575
california,2006 Q2,135.872276550515
california,2006 Q3,105.97200027096244
california,2006 Q4,62.70141484757196
california,2007 Q1,97.34225993929313
california,2007 Q2,94.41689868405196
california,2007 Q3,112.00829546520377
california,2007 Q4,143.22623767660468
california,2008 Q1,238.04554930094332
california,2008 Q2,198.57878606563565
california,2008 Q3,227.61621074135465
california,2008 Q4,376.1908180111893
california,2009 Q1,380.05733898113704
california,2009 Q2,272.78431438627996
california,2009 Q3,208.85401041676732
california,2009 Q4,209.794982044828
california,2010 Q1,218.52588589764767
california,2010 Q2,179.92668686330202
california,2010 Q3,254.620190184002
california,2010 Q4,306.6220469220037
california,2011 Q1,212.36311213339434
california,2011 Q2,192.95899000222698
california,2011 Q3,304.204925517411
california,2011 Q4,278.899643238269
california,2012 Q1,197.97588857040265
california,2012 Q2,171.751905105437
california,2012 Q3,171.33490204020902
