State,var_feat_0,var_feat_1,var_feat_2,var_feat_3,var_feat_4,var_feat_5,var_feat_6,var_feat_7,var_feat_8,var_feat_9,var_feat_10,var_feat_11,var_feat_12,var_feat_13,var_feat_14,var_feat_15
alabama,-0.4731795412361447,1.0348646383985147,0.021524006632876125,1.4307628644997952,0.6360204199847526,-5.007771829227114,0.14611839741922616,-1.5656996375043293,0.46295109827592373,6.005018767338588,0.18377794110719997,1.3814865656422823,0.002467542524745485,0.001282722432566497,0.002594631711736289,0.0016448721298406653
alaska,0.7588238504759677,-14.390351647668606,-0.0027203271679078697,0.6535324868427964,0.16426848315957382,10.39541765501541,-0.007342034706179372,-0.6185885994635305,-1.3976704217587304,7.957075814330586,0.013032330647698482,0.017925589612780308,0.05942624694786,-0.0662161926405961,-0.0004938376090285788,0.0005300239716484302
california,-1.0340685815989366,2.2494443757806115,0.00023930690675041943,1.2185126066694958,-0.14080405648881444,-17.75903322354159,0.021911585521787954,-0.4739966512924296,-0.49277893387577254,14.875244307524685,0.021863540427563277,0.6001135219680228,0.008093287579038419,-0.017431287476455833,0.0017083001847539312,0.0017736577463871063
colorado,-0.6680405240070844,5.528577946341111,-0.013907956306200814,1.2949617031670828,0.09602187650011629,-5.172899911255171,-0.0072520224300371,-0.5762344635661691,0.012538758475507228,0.5014299450591301,-0.006526162810374464,0.4337144833963291,0.0012534376950517469,0.0007493534448446495,0.0009036424722703984,0.0012713832060038063
connecticut,-1.2499775108179572,-7.614874320695742,-0.015145948151760028,0.4553105503506357,-1.6871484068720835,19.704576233338365,-0.014754599790449408,0.22436498754956416,-1.331224697348394,8.205267345537488,0.007125260434276158,0.5651837435484448,0.010845069901132535,-0.0035776193574175445,-0.00022512322524021795,0.0001823442026638592
florida,-0.2623459902630956,-1.4291913999539272,-0.0367946751328635,1.6226512423319417,0.11197896504040544,0.829463591926273,-0.008092981035404852,-1.2958572915380555,0.3403435096018276,4.943496194412942,-0.026628119106134884,0.9161140372858947,0.0005667672904316186,0.003834845178153326,-0.0005525264019989978,0.0006122939315274364
georgia,-1.1784247317972931,5.5160229668503264,-0.0757585265874402,3.1226500885976836,-0.9184201030079945,0.7520023035754079,0.4379687537929921,-2.701623511503355,-0.6018849308221346,7.051882749066858,0.3235783636411913,0.37582358008453254,1.4524960546852868,7.761007708886907,0.8227938491159814,4.371329248938446
idaho,-1.2262516255128335,-8.46680906975817,0.047976057014022855,1.5736817059916701,-1.1027238843463316,-9.004013784961248,0.08146096767916573,0.04906640650537367,-0.2835421246552907,11.475335201683412,0.026496338927517363,-0.2619552816174313,-0.00209949915515174,-0.0006674364910248007,0.0014313902847021731,0.00041931377506766894
illinois,-1.3325579838107775,9.104558072608732,0.08063232284946086,1.3470561729603097,-1.5676450289057975,-6.199543472972214,0.049813226656798826,-1.219828896969664,-1.3107718597755273,4.9790999507325875,-0.05861993383769841,0.7607855817053335,-0.00021505514609590753,-0.0021844966170940457,0.0007453502609592834,0.0004221995712267889
indiana,0.5994087468936039,-2.025088387378413,0.16134759053720116,0.5509522452383325,1.1239396699566253,0.2292057129570679,0.28056006542532663,-0.4623342147278301,-0.30578919407428495,2.801228416960211,0.08008650245731053,1.2140977997883085,0.014223963651526159,-0.00010895364675891178,0.018048193812460686,-1.572776808756195e-05
iowa,0.6767832254672708,-2.756310050009683,-0.05800543111624791,1.2586546122247857,-0.13313450834072116,4.571670951691311,0.08135834795096468,-0.8867125847050035,0.8442166957899868,5.63372203262352,-0.06607417492797613,0.14720964565951042,0.008746310524616984,0.004674929645488317,-0.001144315642926359,-0.00039640794302364256
kansas,-0.9328425124995334,8.093494505976185,-0.0029753142586677293,1.0306126502085364,-0.9296101123117356,-2.24918094442149,0.007501830353915698,-0.5849992443422889,-0.6269937884513161,13.508392205293413,-0.002994783485813968,0.23350687157989475,0.0006180018574699818,0.0005870456758538585,-1.858091915484114e-05,-4.018647923015453e-06
kentucky,0.278274620558592,-0.7742894301023217,0.18960741805860554,0.5495880272853623,1.3329843687856493,-4.358442889968963,0.2325842517571984,-0.2036260312116659,-0.5241132919521032,7.727409758455694,-0.019521241570506997,1.3168581070735659,0.027342280739403948,-0.002591587918362278,0.012831926173595843,0.0008043311092780088
louisiana,0.47811595317183797,-6.737797176304716,-0.0014700171579149907,0.24122692960959674,0.6028349511328335,0.4635718540438092,-0.03959317983785808,-0.07293978191568105,-0.492333983560602,3.551857979384447,0.0037452154909164165,-0.14551269132935915,0.0014893261202428409,0.0011206393702489182,-0.00016738675253464256,-3.5437938681374e-05
maine,-0.7651227210742874,-5.172588368211293,0.037397292659471455,0.9291021599050314,0.29193292069384813,-1.5031066275154708,0.028250069979753864,-0.8888038476611729,0.34984464320589725,-0.21063965220724326,0.010429184219634062,0.3166485292032846,-0.001252898004784035,-0.0002539323456185236,-0.0004274803795153488,-0.00031536836512249106
