State,YearQuarter,EPU_value_Quarterly
alabama,2000 Q1,84.01826666421987
alabama,2000 Q2,22.709971319290002
alabama,2000 Q3,69.43046461844544
alabama,2000 Q4,64.40478031545054
alabama,2001 Q1,140.42487555719777
alabama,2001 Q2,63.85414704958157
alabama,2001 Q3,100.01325642784063
alabama,2001 Q4,184.434960548832
alabama,2002 Q1,107.51146033025213
alabama,2002 Q2,75.04153266840716
alabama,2002 Q3,34.5141369534526
alabama,2002 Q4,98.38385076654266
alabama,2003 Q1,89.07828385166111
alabama,2003 Q2,78.92223686063811
alabama,2003 Q3,77.05416784567937
alabama,2003 Q4,33.1548236080011
alabama,2004 Q1,52.45884812079356
alabama,2004 Q2,18.8607761241767
alabama,2004 Q3,65.02356638088297
alabama,2004 Q4,36.2312621928246
alabama,2005 Q1,32.24080754318077
alabama,2005 Q2,49.68205335711526
alabama,2005 Q3,30.143070020835836
alabama,2005 Q4,21.87474158375637
alabama,2006 Q1,21.005871648683883
alabama,2006 Q2,16.19425635489706
alabama,2006 Q3,50.174227028672995
alabama,2006 Q4,29.537735769488364
alabama,2007 Q1,25.336220155905902
alabama,2007 Q2,31.677944166503636
alabama,2007 Q3,29.645580348496395
alabama,2007 Q4,48.353981015646205
alabama,2008 Q1,57.671914010448496
alabama,2008 Q2,52.7839132368101
alabama,2008 Q3,91.42684127907204
alabama,2008 Q4,213.58384206389235
alabama,2009 Q1,182.94619940655002
alabama,2009 Q2,79.80726051171543
alabama,2009 Q3,51.230473089374165
alabama,2009 Q4,78.49465309387523
alabama,2010 Q1,65.2393720868465
alabama,2010 Q2,78.37544087464771
alabama,2010 Q3,82.7564132874609
alabama,2010 Q4,106.95803202448856
alabama,2011 Q1,82.1539671368883
alabama,2011 Q2,51.856547990544335
alabama,2011 Q3,125.53402539061767
alabama,2011 Q4,117.91901536969453
alabama,2012 Q1,43.620096056499
alabama,2012 Q2,41.45517067409753
alabama,2012 Q3,84.946278363802
alabama,2012 Q4,98.98995831470585
alabama,2013 Q1,95.41576596865703
alabama,2013 Q2,35.39975280817753
alabama,2013 Q3,40.741980340709
alabama,2013 Q4,49.4146923659749
alabama,2014 Q1,39.5304313685269
alabama,2014 Q2,59.347408256928
alabama,2014 Q3,48.82289195312379
alabama,2014 Q4,67.38171803239386
alabama,2015 Q1,35.963320245498934
alabama,2015 Q2,40.7630659266705
alabama,2015 Q3,54.59005550563427
alabama,2015 Q4,28.501968303921263
alabama,2016 Q1,74.3600945290915
alabama,2016 Q2,59.800235878942374
alabama,2016 Q3,21.8905822632719
alabama,2016 Q4,38.35286972916473
