State,G_hcluster,hclust_score
missouri,0,-0.04461542082964058
missouri,0,-0.04461542082964058
missouri,0,-0.04461542082964058
alaska,0,-0.10178233706608376
minnesota,0,-0.14463708673042688
minnesota,0,-0.14463708673042688
kentucky,0,-0.18024116705114535
kentucky,0,-0.18024116705114535
kentucky,0,-0.18024116705114535
missouri,0,-0.2024525870197225
missouri,0,-0.2104600384511337
missouri,0,-0.2104600384511337
missouri,0,-0.2104600384511337
missouri,0,-0.2104600384511337
oregon,0,-0.22045645762656374
oregon,0,-0.22045645762656374
oregon,0,-0.22045645762656374
oregon,0,-0.22045645762656374
maine,0,-0.22621159343046174
maine,0,-0.22621159343046174
maine,0,-0.22621159343046174
montana,0,-0.24588035983547868
montana,0,-0.24588035983547868
montana,0,-0.24588035983547868
maine,0,-0.2559028939924088
maine,0,-0.25824028720905184
maine,0,-0.25824028720905184
maine,0,-0.25824028720905184
kentucky,0,-0.26736378310296866
montana,0,-0.2734442493528909
florida,0,-0.27426528541192613
arkansas,0,-0.284433089876661
arkansas,0,-0.284433089876661
arkansas,0,-0.284433089876661
missouri,0,-0.28693120242988
missouri,0,-0.28693120242988
idaho,0,-0.2878483459474573
wisconsin,0,-0.28808558084043906
wisconsin,0,-0.28808558084043906
wisconsin,0,-0.28808558084043906
kentucky,0,-0.3104952970374214
minnesota,0,-0.31397376388100195
minnesota,0,-0.31397376388100195
tennessee,0,-0.3272767790444738
tennessee,0,-0.3272767790444738
idaho,0,-0.3327637986172145
idaho,0,-0.3327637986172145
idaho,0,-0.3327637986172145
idaho,0,-0.3327637986172145
minnesota,0,-0.33599721807917493
maine,0,-0.3363186423820182
pennsylvania,0,-0.33930857688345145
pennsylvania,0,-0.33930857688345145
pennsylvania,0,-0.33930857688345145
wisconsin,0,-0.34573652277187056
wisconsin,0,-0.34573652277187056
wisconsin,0,-0.34573652277187056
west virginia,0,-0.34793492208794974
idaho,0,-0.3490747548589835
idaho,0,-0.3490747548589835
idaho,0,-0.3490747548589835
ohio,0,-0.35100360799333785
ohio,0,-0.35100360799333785
ohio,0,-0.35100360799333785
ohio,0,-0.35100360799333785
iowa,0,-0.35405888832876004
iowa,0,-0.35405888832876004
pennsylvania,0,-0.35978454177189795
wisconsin,0,-0.36585290668481185
west virginia,0,-0.3679311296420692
west virginia,0,-0.3679311296420692
west virginia,0,-0.3679311296420692
minnesota,0,-0.3709124406389944
connecticut,0,-0.37894550446796466
connecticut,0,-0.37894550446796466
vermont,0,-0.37944702305587025
vermont,0,-0.37944702305587025
north carolina,0,-0.3829373779117459
north carolina,0,-0.3829373779117459
north carolina,0,-0.3829373779117459
north carolina,0,-0.3829373779117459
texas,0,-0.3927290726907639
texas,0,-0.3927290726907639
new mexico,0,-0.3956868743708889
minnesota,0,-0.3973458767377615
minnesota,0,-0.3973458767377615
connecticut,0,-0.3973843246881056
vermont,0,-0.3978626012297507
vermont,0,-0.3978626012297507
alaska,0,-0.4020424221305641
alaska,0,-0.4020424221305641
nebraska,0,-0.4042318188091194
nebraska,0,-0.4042318188091194
nebraska,0,-0.4042318188091194
louisiana,0,-0.40479283064397326
louisiana,0,-0.40479283064397326
arizona,0,-0.40809510805522986
arizona,0,-0.40809510805522986
arizona,0,-0.40809510805522986
new mexico,0,-0.41117514540126343
